Activity,Resource
O_Accepted,User_68
A_Pending,User_68
A_Accepted,User_15
O_Create Offer,User_15
O_Created,User_15
O_Sent (mail and online),User_15
W_Complete application,User_15
A_Complete,User_15
O_Cancelled,User_119
A_Accepted,User_108
O_Create Offer,User_108
O_Created,User_108
O_Sent (mail and online),User_108
W_Complete application,User_108
A_Complete,User_108
O_Create Offer,User_10
O_Created,User_10
O_Sent (mail and online),User_10
A_Denied,User_29
O_Refused,User_29
W_Validate application,User_29
A_Accepted,User_89
O_Create Offer,User_89
O_Created,User_89
O_Sent (mail and online),User_89
W_Complete application,User_89
A_Complete,User_89
A_Denied,User_90
O_Refused,User_90
A_Create Application,User_17
O_Cancelled,User_17
A_Cancelled,User_112
O_Cancelled,User_112
O_Create Offer,User_4
O_Created,User_4
O_Sent (mail and online),User_4
O_Create Offer,User_7
O_Created,User_7
O_Sent (mail and online),User_7
A_Accepted,User_28
O_Create Offer,User_28
O_Created,User_28
O_Sent (mail and online),User_28
W_Complete application,User_28
A_Complete,User_28
A_Cancelled,User_20
O_Cancelled,User_20
A_Incomplete,User_29
O_Accepted,User_29
A_Pending,User_29
O_Cancelled,User_29
O_Returned,User_114
W_Call incomplete files,User_29
A_Validating,User_29
A_Create Application,User_38
A_Concept,User_38
O_Cancelled,User_38
A_Validating,User_100
W_Validate application,User_100
A_Accepted,User_7
A_Complete,User_7
W_Complete application,User_7
A_Validating,User_2
A_Denied,User_100
O_Refused,User_100
O_Cancelled,User_89
O_Cancelled,User_115
A_Create Application,User_3
A_Concept,User_3
O_Accepted,User_30
A_Pending,User_30
O_Create Offer,User_14
O_Created,User_14
O_Sent (mail and online),User_14
A_Complete,User_14
A_Create Application,User_52
A_Concept,User_52
O_Cancelled,User_3
O_Cancelled,User_14
O_Create Offer,User_2
O_Created,User_2
O_Create Offer,User_5
O_Created,User_5
O_Returned,User_120
A_Validating,User_120
O_Cancelled,User_90
A_Accepted,User_41
O_Create Offer,User_41
O_Created,User_41
O_Sent (mail and online),User_41
A_Complete,User_41
A_Accepted,User_22
O_Create Offer,User_22
O_Created,User_22
O_Sent (mail and online),User_22
A_Complete,User_22
A_Validating,User_127
O_Returned,User_127
A_Incomplete,User_102
O_Create Offer,User_11
O_Created,User_11
O_Sent (mail and online),User_11
A_Complete,User_11
O_Returned,User_95
A_Accepted,User_110
O_Create Offer,User_110
O_Created,User_110
O_Sent (mail and online),User_110
A_Complete,User_110
A_Incomplete,User_99
O_Returned,User_87
O_Cancelled,User_87
O_Accepted,User_99
A_Pending,User_99
A_Accepted,User_10
A_Complete,User_10
O_Accepted,User_112
A_Pending,User_112
A_Accepted,User_11
A_Validating,User_10
W_Handle leads,User_14
A_Concept,User_14
A_Accepted,User_13
O_Create Offer,User_13
O_Created,User_13
O_Sent (mail and online),User_13
A_Complete,User_13
A_Accepted,User_20
O_Create Offer,User_20
O_Created,User_20
O_Sent (mail and online),User_20
A_Complete,User_20
A_Accepted,User_37
O_Create Offer,User_37
O_Created,User_37
O_Sent (mail and online),User_37
W_Complete application,User_37
A_Complete,User_37
O_Accepted,User_113
A_Pending,User_113
W_Validate application,User_109
A_Incomplete,User_109
A_Cancelled,User_70
O_Cancelled,User_70
W_Validate application,User_75
W_Call incomplete files,User_34
A_Validating,User_34
W_Complete application,User_11
A_Cancelled,User_49
O_Cancelled,User_49
W_Call incomplete files,User_49
O_Cancelled,User_75
A_Incomplete,User_30
A_Denied,User_75
O_Refused,User_75
O_Create Offer,User_85
O_Created,User_85
A_Cancelled,User_2
O_Cancelled,User_2
W_Call incomplete files,User_2
O_Cancelled,User_22
A_Accepted,User_71
O_Create Offer,User_71
O_Created,User_71
O_Sent (mail and online),User_71
W_Complete application,User_71
A_Complete,User_71
A_Cancelled,User_10
O_Cancelled,User_10
A_Accepted,User_74
O_Create Offer,User_74
O_Created,User_74
O_Sent (mail and online),User_74
A_Complete,User_74
W_Call incomplete files,User_41
A_Validating,User_41
A_Accepted,User_8
A_Complete,User_8
W_Validate application,User_30
W_Complete application,User_13
O_Accepted,User_114
A_Pending,User_114
O_Cancelled,User_114
A_Accepted,User_5
O_Sent (mail and online),User_5
W_Complete application,User_5
A_Complete,User_5
A_Accepted,User_14
O_Create Offer,User_25
O_Created,User_25
O_Sent (mail and online),User_25
A_Accepted,User_4
A_Complete,User_4
W_Validate application,User_117
A_Incomplete,User_117
W_Call incomplete files,User_14
A_Validating,User_14
A_Validating,User_92
W_Validate application,User_90
O_Create Offer,User_34
O_Created,User_34
O_Sent (mail and online),User_34
A_Validating,User_95
O_Cancelled,User_99
O_Cancelled,User_113
A_Validating,User_22
O_Returned,User_29
A_Cancelled,User_92
O_Cancelled,User_92
A_Cancelled,User_11
O_Cancelled,User_11
A_Create Application,User_75
A_Concept,User_75
A_Accepted,User_75
O_Create Offer,User_75
O_Created,User_75
O_Sent (mail and online),User_75
W_Complete application,User_75
A_Complete,User_75
W_Call after offers,User_75
A_Validating,User_75
O_Accepted,User_117
A_Pending,User_117
A_Create Application,User_19
A_Concept,User_19
A_Create Application,User_7
A_Concept,User_7
A_Create Application,User_16
A_Concept,User_16
A_Create Application,User_43
A_Concept,User_43
A_Incomplete,User_90
A_Create Application,User_2
A_Concept,User_2
A_Accepted,User_2
O_Sent (mail and online),User_2
W_Complete application,User_2
A_Complete,User_2
O_Create Offer,User_24
O_Created,User_24
O_Sent (mail and online),User_24
W_Complete application,User_24
A_Complete,User_24
W_Call after offers,User_119
W_Call incomplete files,User_44
A_Validating,User_44
A_Create Application,User_20
A_Concept,User_20
W_Complete application,User_20
O_Returned,User_75
A_Create Application,User_47
A_Concept,User_47
A_Cancelled,User_41
O_Cancelled,User_41
O_Cancelled,User_30
A_Create Application,User_14
W_Complete application,User_14
O_Accepted,User_109
A_Pending,User_109
O_Cancelled,User_68
W_Complete application,User_22
A_Accepted,User_24
O_Cancelled,User_4
O_Create Offer,User_44
O_Created,User_44
O_Sent (mail and online),User_44
A_Complete,User_44
A_Create Application,User_89
A_Concept,User_89
W_Validate application,User_112
A_Incomplete,User_112
A_Cancelled,User_17
W_Call incomplete files,User_17
W_Handle leads,User_20
A_Accepted,User_92
O_Create Offer,User_92
O_Created,User_92
O_Sent (mail and online),User_92
A_Complete,User_92
A_Cancelled,User_9
O_Cancelled,User_9
A_Create Application,User_28
A_Concept,User_28
A_Cancelled,User_24
O_Cancelled,User_24
A_Accepted,User_85
O_Sent (mail and online),User_85
A_Complete,User_85
A_Create Application,User_13
A_Concept,User_13
A_Accepted,User_6
O_Create Offer,User_6
O_Created,User_6
O_Sent (mail and online),User_6
A_Complete,User_6
A_Create Application,User_10
A_Concept,User_10
A_Accepted,User_44
W_Complete application,User_44
W_Validate application,User_113
A_Incomplete,User_113
A_Validating,User_101
W_Validate application,User_101
W_Handle leads,User_1
W_Handle leads,User_3
A_Create Application,User_31
A_Concept,User_31
A_Validating,User_30
O_Returned,User_30
A_Denied,User_30
O_Refused,User_30
A_Create Application,User_5
A_Concept,User_5
W_Complete application,User_10
A_Cancelled,User_4
O_Cancelled,User_37
O_Cancelled,User_44
A_Incomplete,User_68
A_Cancelled,User_110
O_Cancelled,User_110
W_Handle leads,User_5
W_Handle leads,User_31
A_Create Application,User_8
A_Concept,User_8
W_Complete application,User_8
A_Cancelled,User_14
A_Create Application,User_11
A_Concept,User_11
O_Create Offer,User_36
O_Created,User_36
O_Sent (mail and online),User_36
A_Cancelled,User_34
O_Cancelled,User_34
A_Validating,User_73
A_Create Application,User_22
A_Concept,User_22
W_Call incomplete files,User_101
O_Cancelled,User_36
A_Cancelled,User_36
A_Validating,User_125
O_Returned,User_125
A_Accepted,User_27
O_Create Offer,User_27
O_Created,User_27
O_Sent (mail and online),User_27
A_Complete,User_27
O_Create Offer,User_18
O_Created,User_18
A_Accepted,User_49
O_Create Offer,User_49
O_Created,User_49
O_Sent (mail and online),User_49
W_Complete application,User_49
A_Complete,User_49
A_Create Application,User_92
A_Concept,User_92
W_Complete application,User_92
W_Complete application,User_21
A_Create Application,User_85
A_Concept,User_85
W_Complete application,User_85
A_Create Application,User_24
A_Concept,User_24
W_Validate application,User_102
O_Accepted,User_118
A_Pending,User_118
A_Validating,User_28
W_Handle leads,User_47
O_Returned,User_99
O_Cancelled,User_109
A_Create Application,User_4
A_Concept,User_4
A_Complete,User_34
O_Cancelled,User_15
W_Call incomplete files,User_99
A_Validating,User_99
A_Validating,User_18
A_Accepted,User_36
A_Complete,User_36
W_Complete application,User_4
A_Denied,User_120
O_Refused,User_120
A_Validating,User_6
A_Validating,User_24
O_Cancelled,User_117
A_Create Application,User_37
A_Concept,User_37
A_Cancelled,User_18
O_Cancelled,User_18
A_Create Application,User_21
A_Concept,User_21
W_Validate application,User_2
A_Incomplete,User_2
W_Complete application,User_110
A_Denied,User_115
O_Refused,User_115
A_Denied,User_2
O_Refused,User_2
A_Validating,User_27
W_Validate application,User_119
W_Handle leads,User_92
W_Handle leads,User_4
A_Accepted,User_47
O_Create Offer,User_33
O_Created,User_33
O_Sent (mail and online),User_33
A_Complete,User_33
A_Create Application,User_74
A_Concept,User_74
O_Cancelled,User_21
A_Accepted,User_35
O_Create Offer,User_35
O_Created,User_35
O_Sent (mail and online),User_35
A_Complete,User_35
W_Validate application,User_115
A_Denied,User_27
O_Refused,User_27
A_Denied,User_37
O_Refused,User_37
O_Create Offer,User_47
O_Created,User_47
O_Sent (mail and online),User_47
A_Complete,User_47
A_Denied,User_87
O_Refused,User_87
A_Validating,User_74
A_Create Application,User_30
A_Concept,User_30
A_Accepted,User_30
O_Create Offer,User_30
O_Created,User_30
O_Sent (mail and online),User_30
W_Complete application,User_30
A_Complete,User_30
W_Call after offers,User_30
A_Create Application,User_110
A_Concept,User_110
A_Incomplete,User_119
W_Call incomplete files,User_119
A_Validating,User_70
W_Call incomplete files,User_75
O_Accepted,User_116
A_Pending,User_116
A_Create Application,User_87
A_Concept,User_87
A_Accepted,User_87
A_Validating,User_25
O_Cancelled,User_118
O_Cancelled,User_13
A_Denied,User_13
O_Create Offer,User_50
O_Created,User_50
A_Accepted,User_25
O_Sent (mail and online),User_18
W_Complete application,User_18
A_Complete,User_18
O_Accepted,User_102
A_Pending,User_102
O_Cancelled,User_102
A_Accepted,User_18
A_Cancelled,User_74
O_Cancelled,User_74
A_Complete,User_25
A_Denied,User_101
O_Refused,User_101
A_Create Application,User_108
A_Concept,User_108
W_Handle leads,User_6
A_Concept,User_6
A_Accepted,User_12
A_Complete,User_12
W_Call incomplete files,User_74
A_Cancelled,User_19
W_Complete application,User_74
A_Incomplete,User_9
O_Cancelled,User_108
A_Create Application,User_27
A_Concept,User_27
W_Complete application,User_27
A_Accepted,User_9
O_Create Offer,User_9
O_Created,User_9
O_Sent (mail and online),User_9
A_Complete,User_9
W_Validate application,User_118
W_Complete application,User_47
A_Create Application,User_6
W_Complete application,User_6
W_Handle leads,User_25
A_Concept,User_25
W_Call incomplete files,User_38
A_Validating,User_38
A_Validating,User_47
A_Validating,User_21
O_Returned,User_100
O_Returned,User_90
A_Validating,User_13
W_Call incomplete files,User_36
W_Call after offers,User_34
W_Validate application,User_34
A_Incomplete,User_34
W_Complete application,User_12
W_Handle leads,User_2
W_Call incomplete files,User_28
A_Create Application,User_35
A_Concept,User_35
O_Sent (mail and online),User_50
A_Complete,User_50
W_Complete application,User_35
A_Validating,User_3
W_Validate application,User_3
A_Incomplete,User_3
W_Call after offers,User_27
W_Call incomplete files,User_27
W_Call incomplete files,User_10
A_Accepted,User_34
W_Call after offers,User_4
A_Create Application,User_68
A_Concept,User_68
A_Create Application,User_36
A_Concept,User_36
W_Handle leads,User_18
A_Concept,User_18
O_Cancelled,User_12
A_Create Application,User_44
A_Concept,User_44
A_Create Application,User_9
A_Concept,User_9
A_Create Application,User_25
O_Cancelled,User_35
W_Call incomplete files,User_35
A_Validating,User_35
A_Create Application,User_71
A_Concept,User_71
W_Handle leads,User_38
W_Handle leads,User_10
W_Call incomplete files,User_68
A_Validating,User_68
O_Cancelled,User_52
A_Denied,User_52
O_Cancelled,User_43
W_Call incomplete files,User_24
A_Create Application,User_12
A_Concept,User_12
O_Create Offer,User_73
O_Created,User_73
O_Sent (mail and online),User_73
A_Validating,User_5
O_Cancelled,User_116
W_Handle leads,User_44
A_Cancelled,User_3
W_Validate application,User_120
A_Incomplete,User_120
W_Call incomplete files,User_120
W_Complete application,User_41
W_Complete application,User_9
W_Complete application,User_25
O_Cancelled,User_25
A_Validating,User_26
A_Denied,User_102
O_Refused,User_102
O_Create Offer,User_117
O_Created,User_117
O_Sent (mail and online),User_117
A_Cancelled,User_13
A_Cancelled,User_38
A_Denied,User_36
O_Refused,User_36
O_Create Offer,User_112
O_Created,User_112
W_Call incomplete files,User_73
W_Handle leads,User_33
A_Concept,User_33
A_Accepted,User_33
W_Complete application,User_33
A_Cancelled,User_16
O_Cancelled,User_16
W_Call incomplete files,User_16
W_Validate application,User_114
A_Denied,User_41
O_Refused,User_41
A_Incomplete,User_116
A_Denied,User_109
O_Refused,User_109
W_Handle leads,User_26
A_Concept,User_26
A_Create Application,User_26
A_Accepted,User_26
A_Cancelled,User_87
A_Create Application,User_41
A_Concept,User_41
W_Call incomplete files,User_113
A_Cancelled,User_29
A_Denied,User_144
O_Refused,User_144
O_Cancelled,User_71
A_Validating,User_8
W_Call after offers,User_14
A_Validating,User_49
A_Create Application,User_34
A_Concept,User_34
W_Complete application,User_34
O_Create Offer,User_70
O_Created,User_70
W_Validate application,User_70
A_Incomplete,User_70
A_Validating,User_15
A_Create Application,User_29
A_Concept,User_29
A_Accepted,User_29
O_Create Offer,User_29
O_Created,User_29
W_Complete application,User_29
A_Complete,User_29
W_Call after offers,User_29
O_Returned,User_109
O_Returned,User_115
A_Cancelled,User_37
A_Create Application,User_95
A_Concept,User_95
A_Accepted,User_95
O_Create Offer,User_95
O_Created,User_95
W_Complete application,User_95
A_Complete,User_95
W_Call after offers,User_95
A_Denied,User_44
O_Refused,User_44
W_Validate application,User_44
A_Create Application,User_49
A_Concept,User_49
O_Sent (mail and online),User_95
A_Create Application,User_50
A_Concept,User_50
A_Accepted,User_50
W_Complete application,User_50
W_Handle leads,User_27
A_Validating,User_17
W_Validate application,User_17
A_Incomplete,User_17
A_Cancelled,User_33
O_Cancelled,User_33
W_Call incomplete files,User_33
A_Create Application,User_18
A_Validating,User_19
O_Cancelled,User_28
A_Validating,User_4
W_Handle leads,User_34
A_Cancelled,User_52
W_Handle leads,User_85
A_Validating,User_9
A_Validating,User_86
A_Incomplete,User_49
O_Create Offer,User_87
O_Created,User_87
O_Sent (mail and online),User_87
W_Call incomplete files,User_11
A_Validating,User_11
W_Validate application,User_18
W_Handle leads,User_43
W_Complete application,User_52
A_Cancelled,User_7
O_Cancelled,User_7
A_Denied,User_21
O_Refused,User_21
O_Cancelled,User_6
A_Accepted,User_70
O_Sent (mail and online),User_70
A_Complete,User_70
A_Cancelled,User_43
A_Create Application,User_109
A_Concept,User_109
A_Accepted,User_109
W_Complete application,User_36
W_Handle leads,User_8
A_Denied,User_43
O_Refused,User_43
W_Handle leads,User_19
A_Cancelled,User_23
O_Cancelled,User_23
W_Call incomplete files,User_23
O_Cancelled,User_31
A_Cancelled,User_85
O_Cancelled,User_85
W_Validate application,User_116
W_Handle leads,User_36
O_Create Offer,User_26
O_Created,User_26
O_Sent (mail and online),User_26
W_Complete application,User_26
A_Complete,User_26
W_Handle leads,User_24
A_Cancelled,User_21
A_Cancelled,User_102
A_Cancelled,User_5
O_Cancelled,User_5
A_Validating,User_43
A_Incomplete,User_43
A_Denied,User_25
O_Refused,User_25
A_Create Application,User_102
A_Concept,User_102
A_Accepted,User_102
O_Create Offer,User_102
O_Created,User_102
O_Sent (mail and online),User_102
W_Complete application,User_102
A_Complete,User_102
W_Call after offers,User_102
A_Validating,User_102
O_Returned,User_102
W_Handle leads,User_9
W_Call incomplete files,User_5
W_Validate application,User_14
A_Incomplete,User_14
A_Validating,User_85
W_Call incomplete files,User_3
W_Call incomplete files,User_4
W_Handle leads,User_21
O_Create Offer,User_109
O_Created,User_109
A_Complete,User_109
W_Call after offers,User_109
A_Validating,User_109
A_Accepted,User_73
W_Complete application,User_73
A_Complete,User_73
A_Create Application,User_15
A_Concept,User_15
W_Handle leads,User_70
A_Concept,User_70
A_Cancelled,User_12
O_Returned,User_101
W_Complete application,User_87
A_Complete,User_87
W_Call after offers,User_87
A_Validating,User_87
A_Create Application,User_99
A_Concept,User_99
A_Accepted,User_99
O_Create Offer,User_99
O_Created,User_99
W_Complete application,User_99
A_Complete,User_99
W_Call after offers,User_99
O_Accepted,User_120
A_Pending,User_120
A_Denied,User_4
O_Refused,User_4
A_Cancelled,User_113
W_Call incomplete files,User_30
W_Call after offers,User_5
W_Validate application,User_5
A_Incomplete,User_5
O_Create Offer,User_32
O_Created,User_32
O_Sent (mail and online),User_32
O_Cancelled,User_32
W_Call after offers,User_36
W_Call incomplete files,User_102
O_Create Offer,User_39
O_Created,User_39
O_Sent (mail and online),User_39
A_Cancelled,User_73
O_Cancelled,User_73
O_Create Offer,User_101
O_Created,User_101
O_Returned,User_68
A_Cancelled,User_31
A_Validating,User_12
W_Call incomplete files,User_22
A_Cancelled,User_47
O_Cancelled,User_47
A_Create Application,User_73
A_Concept,User_73
A_Validating,User_33
W_Validate application,User_33
A_Incomplete,User_33
A_Validating,User_37
A_Validating,User_71
W_Validate application,User_13
A_Incomplete,User_13
A_Validating,User_36
A_Cancelled,User_25
A_Create Application,User_86
A_Concept,User_86
A_Accepted,User_86
O_Create Offer,User_86
O_Created,User_86
O_Sent (mail and online),User_86
W_Complete application,User_86
A_Complete,User_86
O_Cancelled,User_86
A_Cancelled,User_142
O_Cancelled,User_142
W_Call after offers,User_142
W_Call incomplete files,User_114
A_Validating,User_52
W_Handle leads,User_120
A_Concept,User_120
O_Cancelled,User_120
W_Handle leads,User_11
A_Validating,User_16
O_Create Offer,User_119
O_Created,User_119
A_Accepted,User_23
O_Create Offer,User_23
O_Created,User_23
O_Sent (mail and online),User_23
A_Complete,User_23
A_Cancelled,User_35
A_Validating,User_23
W_Validate application,User_23
A_Incomplete,User_23
W_Call incomplete files,User_87
W_Call incomplete files,User_115
A_Validating,User_115
A_Denied,User_14
A_Cancelled,User_28
W_Complete application,User_23
A_Incomplete,User_18
W_Call incomplete files,User_117
W_Call incomplete files,User_70
A_Create Application,User_100
A_Concept,User_100
A_Accepted,User_100
O_Create Offer,User_100
O_Created,User_100
W_Complete application,User_100
A_Complete,User_100
W_Call after offers,User_100
A_Create Application,User_23
A_Concept,User_23
W_Call incomplete files,User_15
W_Handle leads,User_23
A_Cancelled,User_22
W_Call after offers,User_22
W_Handle leads,User_71
A_Create Application,User_70
W_Complete application,User_70
W_Handle leads,User_141
A_Concept,User_141
A_Create Application,User_33
W_Call after offers,User_120
W_Call incomplete files,User_92
W_Validate application,User_92
A_Incomplete,User_92
A_Accepted,User_141
O_Create Offer,User_141
O_Created,User_141
O_Sent (mail and online),User_141
W_Complete application,User_141
A_Complete,User_141
W_Call after offers,User_74
W_Call after offers,User_13
A_Create Application,User_76
A_Concept,User_76
A_Accepted,User_76
O_Create Offer,User_76
O_Created,User_76
O_Sent (mail and online),User_76
W_Complete application,User_76
A_Complete,User_76
W_Call incomplete files,User_13
A_Denied,User_31
O_Refused,User_31
W_Call incomplete files,User_21
W_Handle leads,User_74
W_Handle leads,User_13
A_Denied,User_22
O_Refused,User_22
A_Cancelled,User_15
A_Denied,User_5
O_Refused,User_5
A_Denied,User_73
O_Refused,User_73
W_Call after offers,User_73
W_Call incomplete files,User_37
A_Incomplete,User_37
A_Denied,User_86
O_Refused,User_86
W_Call incomplete files,User_20
A_Validating,User_20
A_Denied,User_24
O_Refused,User_24
W_Call after offers,User_3
W_Call incomplete files,User_90
A_Validating,User_90
A_Cancelled,User_44
W_Call incomplete files,User_31
A_Cancelled,User_32
W_Call incomplete files,User_32
A_Denied,User_23
O_Refused,User_23
A_Denied,User_15
O_Refused,User_15
A_Cancelled,User_71
A_Cancelled,User_95
A_Denied,User_47
O_Refused,User_47
W_Call after offers,User_25
A_Incomplete,User_16
A_Denied,User_49
O_Refused,User_49
A_Validating,User_121
O_Returned,User_121
O_Sent (mail and online),User_109
W_Complete application,User_109
W_Call incomplete files,User_112
A_Complete,User_32
W_Handle leads,User_41
A_Accepted,User_32
O_Create Offer,User_90
O_Created,User_90
A_Accepted,User_97
O_Create Offer,User_97
O_Created,User_97
O_Sent (mail and online),User_97
W_Complete application,User_97
A_Complete,User_97
W_Call incomplete files,User_18
A_Accepted,User_68
O_Create Offer,User_68
O_Created,User_68
O_Sent (mail and online),User_68
W_Complete application,User_68
A_Complete,User_68
A_Cancelled,User_39
O_Cancelled,User_39
W_Call incomplete files,User_39
W_Call incomplete files,User_100
A_Cancelled,User_86
W_Call incomplete files,User_86
A_Accepted,User_39
A_Complete,User_39
A_Validating,User_32
O_Accepted,User_127
A_Pending,User_127
O_Cancelled,User_127
W_Validate application,User_16
W_Handle leads,User_28
O_Refused,User_13
W_Handle leads,User_37
W_Call after offers,User_15
O_Accepted,User_125
A_Pending,User_125
W_Validate application,User_125
O_Cancelled,User_125
W_Handle leads,User_15
A_Incomplete,User_44
W_Handle leads,User_52
A_Incomplete,User_10
W_Complete application,User_32
A_Accepted,User_42
O_Create Offer,User_42
O_Created,User_42
O_Sent (mail and online),User_42
A_Complete,User_42
W_Complete application,User_42
A_Accepted,User_61
O_Create Offer,User_61
O_Created,User_61
O_Sent (mail and online),User_61
W_Complete application,User_61
A_Complete,User_61
A_Accepted,User_82
O_Create Offer,User_82
O_Created,User_82
O_Sent (mail and online),User_82
A_Complete,User_82
W_Validate application,User_49
O_Cancelled,User_97
A_Validating,User_7
W_Call incomplete files,User_26
W_Complete application,User_39
A_Denied,User_19
O_Refused,User_19
W_Validate application,User_47
A_Incomplete,User_47
A_Cancelled,User_117
A_Cancelled,User_42
O_Cancelled,User_42
A_Create Application,User_61
A_Concept,User_61
A_Create Application,User_39
A_Concept,User_39
A_Create Application,User_82
A_Concept,User_82
W_Complete application,User_82
A_Validating,User_48
W_Handle leads,User_16
A_Cancelled,User_46
O_Cancelled,User_46
W_Call incomplete files,User_46
W_Complete application,User_144
A_Accepted,User_46
O_Create Offer,User_46
O_Created,User_46
O_Sent (mail and online),User_46
W_Complete application,User_46
A_Complete,User_46
A_Create Application,User_97
A_Concept,User_97
O_Cancelled,User_61
W_Validate application,User_144
A_Cancelled,User_30
A_Create Application,User_32
A_Concept,User_32
A_Incomplete,User_118
W_Call after offers,User_114
W_Validate application,User_19
W_Call after offers,User_39
A_Cancelled,User_75
W_Call incomplete files,User_71
W_Call after offers,User_17
A_Denied,User_39
O_Refused,User_39
A_Validating,User_46
A_Denied,User_28
O_Refused,User_28
A_Denied,User_71
W_Call after offers,User_71
W_Handle leads,User_61
A_Denied,User_138
O_Refused,User_138
W_Validate application,User_28
A_Incomplete,User_28
W_Call incomplete files,User_42
A_Validating,User_42
A_Validating,User_39
W_Handle leads,User_86
O_Sent (mail and online),User_29
W_Call after offers,User_43
A_Incomplete,User_25
W_Call incomplete files,User_25
A_Create Application,User_42
A_Concept,User_42
A_Cancelled,User_61
W_Call after offers,User_61
O_Cancelled,User_26
W_Validate application,User_138
A_Denied,User_18
O_Refused,User_18
W_Call incomplete files,User_118
O_Create Offer,User_60
O_Created,User_60
O_Sent (mail and online),User_60
W_Call incomplete files,User_61
A_Validating,User_61
W_Handle leads,User_49
W_Call incomplete files,User_52
A_Validating,User_50
A_Denied,User_113
O_Refused,User_113
A_Cancelled,User_26
O_Cancelled,User_103
O_Create Offer,User_116
O_Created,User_116
W_Validate application,User_127
A_Incomplete,User_127
O_Returned,User_123
A_Validating,User_123
O_Returned,User_122
A_Validating,User_122
A_Validating,User_97
A_Create Application,User_46
A_Concept,User_46
A_Cancelled,User_97
O_Accepted,User_121
A_Pending,User_121
W_Validate application,User_121
A_Validating,User_76
W_Handle leads,User_32
A_Denied,User_32
O_Refused,User_32
A_Denied,User_10
O_Refused,User_10
A_Incomplete,User_121
W_Call after offers,User_97
A_Denied,User_42
O_Refused,User_42
W_Call incomplete files,User_60
A_Validating,User_60
W_Handle leads,User_7
W_Call after offers,User_18
A_Denied,User_16
O_Refused,User_16
A_Accepted,User_103
A_Create Application,User_101
A_Concept,User_101
A_Accepted,User_101
W_Call incomplete files,User_7
O_Refused,User_71
W_Call after offers,User_23
A_Cancelled,User_109
W_Call after offers,User_46
A_Accepted,User_60
W_Complete application,User_60
A_Complete,User_60
A_Denied,User_143
O_Refused,User_143
A_Incomplete,User_31
O_Accepted,User_83
A_Pending,User_83
O_Cancelled,User_83
A_Validating,User_40
A_Create Application,User_60
A_Concept,User_60
W_Call incomplete files,User_95
O_Create Offer,User_48
O_Created,User_48
O_Sent (mail and online),User_48
W_Complete application,User_48
A_Complete,User_48
A_Accepted,User_53
O_Create Offer,User_53
O_Created,User_53
O_Sent (mail and online),User_53
W_Complete application,User_53
A_Complete,User_53
A_Accepted,User_48
A_Create Application,User_90
A_Concept,User_90
A_Accepted,User_90
W_Call incomplete files,User_116
W_Call after offers,User_16
O_Returned,User_2
W_Handle leads,User_35
