Resource,Activity,AverageDuration
User_58,W_Call after offers,171.012
User_58,W_Complete application,616.3161801801803
User_58,W_Handle leads,200.5308
User_59,W_Complete application,635.0920588235294
User_59,W_Handle leads,124.71100000000001
User_6,W_Complete application,806.9653571428571
User_6,W_Handle leads,146.236
User_60,W_Call after offers,66.37
User_60,W_Call incomplete files,1110.338
User_60,W_Complete application,1468.0876511627907
User_60,W_Handle leads,234.5351818181818
User_61,W_Call after offers,75.74133333333334
User_61,W_Complete application,929.0823598971722
User_61,W_Handle leads,307.4790192307692
User_61,W_Validate application,4.041
User_62,W_Call after offers,320.7823333333333
User_62,W_Complete application,766.9597678571429
User_62,W_Handle leads,152.152
User_63,W_Complete application,792.5781747572815
User_63,W_Handle leads,190.47696153846152
User_64,W_Handle leads,109.65044897959184
User_65,W_Call after offers,262.93
User_65,W_Complete application,1022.1821379310345
User_65,W_Handle leads,166.50133333333335
User_66,W_Complete application,3792.342372727273
User_66,W_Handle leads,401.21315789473687
User_66,W_Validate application,37922.898499999996
User_67,W_Call after offers,962.2545
User_67,W_Complete application,2664.2778411764707
User_67,W_Handle leads,325.79679999999996
User_67,W_Validate application,90.992
User_68,W_Call after offers,11.655
User_68,W_Call incomplete files,241664.37480000002
User_68,W_Complete application,722.47825
User_68,W_Validate application,172767.98140506327
User_69,W_Complete application,13492.953727272727
User_69,W_Handle leads,92.305
User_7,W_Call after offers,951.026
User_7,W_Complete application,1121.0838263888888
User_7,W_Handle leads,341.852
User_70,W_Call after offers,241.179
User_70,W_Complete application,742.3918045977011
User_70,W_Handle leads,559.577347826087
User_70,W_Validate application,103.66633333333334
User_71,W_Call after offers,310.095
User_71,W_Call incomplete files,461.99249999999995
User_71,W_Complete application,1369.0117387387388
User_71,W_Handle leads,83.7326
User_71,W_Validate application,223.90866666666668
User_72,W_Complete application,1159.6670344827585
User_72,W_Validate application,473.317
User_73,W_Call after offers,191.607
User_73,W_Complete application,3777.5985312499997
User_74,W_Call after offers,373.591
User_74,W_Complete application,776.4462957746479
User_74,W_Handle leads,112.71833333333332
User_75,W_Call after offers,16.244814814814816
User_75,W_Call incomplete files,52449.33065
User_75,W_Complete application,824.70855
User_75,W_Validate application,88345.93976190477
User_76,W_Call after offers,532.826
User_76,W_Complete application,611.3541538461538
User_77,W_Call after offers,580.002
User_77,W_Complete application,8295.81279775281
User_78,W_Call after offers,76.04033333333334
User_78,W_Complete application,11493.401702857143
User_78,W_Handle leads,454.1306666666667
User_79,W_Call after offers,576.441
User_79,W_Complete application,1025.7664302325582
User_79,W_Handle leads,960.0268
User_8,W_Complete application,759.9855555555555
User_8,W_Handle leads,76.861
User_80,W_Complete application,6998.0854311926605
User_80,W_Handle leads,1000.4078333333333
User_80,W_Validate application,19.058
User_81,W_Complete application,1088.3811463414634
User_81,W_Handle leads,28.753
User_82,W_Complete application,574.5129999999999
User_83,W_Call after offers,123.76055555555556
User_83,W_Call incomplete files,54137.41980000001
User_83,W_Complete application,755.6179999999999
User_83,W_Validate application,176600.9109090909
User_84,W_Call after offers,3.718
User_84,W_Complete application,4841.7435076923075
User_84,W_Validate application,3.1
User_85,W_Complete application,506.9567903225806
User_85,W_Handle leads,131.20244444444444
User_85,W_Validate application,3979.975
User_86,W_Call after offers,708.013
User_86,W_Complete application,839.8461363636364
User_86,W_Handle leads,731.4196666666667
User_87,W_Call after offers,81.56745454545454
User_87,W_Call incomplete files,94387.384875
User_87,W_Complete application,665.2201818181818
User_87,W_Validate application,136640.76927777778
User_88,W_Call after offers,315.382
User_88,W_Complete application,2215.607942857143
User_89,W_Complete application,770.4972727272726
User_9,W_Complete application,618.0067368421053
User_9,W_Handle leads,214.29567741935483
User_90,W_Call after offers,354.34137499999997
User_90,W_Call incomplete files,29250.014636363638
User_90,W_Complete application,968.355
User_90,W_Validate application,86753.58957894737
User_91,W_Complete application,2447.128806451613
User_91,W_Handle leads,219.079625
User_92,W_Complete application,1019.6359
User_92,W_Handle leads,385.59633333333335
User_92,W_Validate application,5.06
User_93,W_Call after offers,71.98777777777778
User_93,W_Call incomplete files,134542.56399999998
User_93,W_Complete application,1315.7597777777778
User_93,W_Validate application,171027.27266666666
User_94,W_Complete application,1031.2706166666667
User_95,W_Call after offers,14.622714285714286
User_95,W_Call incomplete files,339448.5535
User_95,W_Complete application,982.9911818181819
User_95,W_Validate application,162878.42778294574
User_96,W_Complete application,1676.3219369369367
User_97,W_Call after offers,1787.541
User_97,W_Complete application,1441.2548727272726
User_98,W_Complete application,1266.0082499999999
User_99,W_Call after offers,25.71
User_99,W_Call incomplete files,187180.15065384615
User_99,W_Complete application,1104.1432
User_99,W_Validate application,114702.12709782609
