case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource
32,A_Submitted,2016-01-01 15:02:49.717952,complete,User_1
33,A_Create Application,2016-01-01 15:05:27.274884,complete,User_1
33,A_Submitted,2016-01-01 15:05:27.372884,complete,User_1
34,A_Create Application,2016-01-01 15:06:34.737869,complete,User_1
34,A_Submitted,2016-01-01 15:06:34.835869,complete,User_1
35,A_Create Application,2016-01-01 15:30:34.295657,complete,User_1
35,A_Submitted,2016-01-01 15:30:34.393657,complete,User_1
36,A_Create Application,2016-01-01 15:59:51.136383,complete,User_1
36,A_Submitted,2016-01-01 15:59:51.234383,complete,User_1
37,A_Create Application,2016-01-01 16:06:41.588825,complete,User_1
37,A_Submitted,2016-01-01 16:06:41.686825,complete,User_1
38,A_Create Application,2016-01-01 16:16:00.571684,complete,User_1
38,A_Submitted,2016-01-01 16:16:00.669684,complete,User_1
39,A_Create Application,2016-01-01 16:26:05.155902,complete,User_1
39,A_Submitted,2016-01-01 16:26:05.253902,complete,User_1
40,A_Create Application,2016-01-01 16:27:13.406343,complete,User_1
40,A_Submitted,2016-01-01 16:27:13.504343,complete,User_1
41,A_Create Application,2016-01-01 16:32:13.094189,complete,User_1
41,A_Submitted,2016-01-01 16:32:13.192189,complete,User_1
42,A_Create Application,2016-01-01 16:38:27.463475,complete,User_1
42,A_Submitted,2016-01-01 16:38:27.561475,complete,User_1
43,A_Create Application,2016-01-01 16:40:54.158328,complete,User_1
43,A_Submitted,2016-01-01 16:40:54.256328,complete,User_1
44,A_Create Application,2016-01-01 16:43:14.599550,complete,User_1
44,A_Submitted,2016-01-01 16:43:14.697550,complete,User_1
45,A_Create Application,2016-01-01 16:48:14.656376,complete,User_1
45,A_Submitted,2016-01-01 16:48:14.754376,complete,User_1
46,A_Create Application,2016-01-01 16:53:57.000299,complete,User_1
46,A_Submitted,2016-01-01 16:53:57.098299,complete,User_1
47,A_Create Application,2016-01-01 16:57:49.820182,complete,User_1
47,A_Submitted,2016-01-01 16:57:49.918182,complete,User_1
48,A_Create Application,2016-01-01 16:58:32.156903,complete,User_1
48,A_Submitted,2016-01-01 16:58:32.254903,complete,User_1
49,A_Create Application,2016-01-01 17:00:02.059826,complete,User_1
49,A_Submitted,2016-01-01 17:00:02.157826,complete,User_1
50,A_Create Application,2016-01-01 17:19:26.962805,complete,User_1
50,A_Submitted,2016-01-01 17:19:27.060805,complete,User_1
51,A_Create Application,2016-01-01 17:31:49.274220,complete,User_1
51,A_Submitted,2016-01-01 17:31:49.372220,complete,User_1
52,A_Create Application,2016-01-01 18:05:08.353427,complete,User_1
52,A_Submitted,2016-01-01 18:05:08.451427,complete,User_1
53,A_Create Application,2016-01-01 18:29:09.566668,complete,User_1
53,A_Submitted,2016-01-01 18:29:09.664668,complete,User_1
54,A_Create Application,2016-01-01 18:52:40.835557,complete,User_1
54,A_Submitted,2016-01-01 18:52:40.933557,complete,User_1
55,A_Create Application,2016-01-01 18:56:49.019003,complete,User_1
55,A_Submitted,2016-01-01 18:56:49.117003,complete,User_1
56,A_Create Application,2016-01-01 19:12:04.144828,complete,User_1
56,A_Submitted,2016-01-01 19:12:04.242828,complete,User_1
57,A_Create Application,2016-01-01 19:12:42.474540,complete,User_1
57,A_Submitted,2016-01-01 19:12:42.572540,complete,User_1
58,A_Create Application,2016-01-01 19:18:42.179649,complete,User_1
58,A_Submitted,2016-01-01 19:18:42.277649,complete,User_1
59,A_Create Application,2016-01-01 19:32:21.466920,complete,User_1
59,A_Submitted,2016-01-01 19:32:21.564920,complete,User_1
60,A_Create Application,2016-01-01 19:38:59.562008,complete,User_1
60,A_Submitted,2016-01-01 19:38:59.660008,complete,User_1
61,A_Create Application,2016-01-01 19:43:47.752849,complete,User_1
61,A_Submitted,2016-01-01 19:43:47.850849,complete,User_1
62,A_Create Application,2016-01-01 19:59:42.538684,complete,User_1
62,A_Submitted,2016-01-01 19:59:42.636684,complete,User_1
63,A_Create Application,2016-01-01 20:13:28.911413,complete,User_1
63,A_Submitted,2016-01-01 20:13:29.009413,complete,User_1
64,A_Create Application,2016-01-01 20:24:11.182247,complete,User_1
64,A_Submitted,2016-01-01 20:24:11.280247,complete,User_1
65,A_Create Application,2016-01-01 22:07:56.323655,complete,User_1
65,A_Submitted,2016-01-01 22:07:56.421655,complete,User_1
66,A_Create Application,2016-01-01 22:12:51.253507,complete,User_1
66,A_Submitted,2016-01-01 22:12:51.351507,complete,User_1
67,A_Create Application,2016-01-01 22:14:16.817684,complete,User_1
67,A_Submitted,2016-01-01 22:14:16.915684,complete,User_1
68,A_Create Application,2016-01-01 22:40:08.321002,complete,User_1
68,A_Submitted,2016-01-01 22:40:08.419002,complete,User_1
69,A_Create Application,2016-01-02 02:25:00.001000,complete,User_1
69,A_Submitted,2016-01-02 02:25:00.099000,complete,User_1
77,A_Create Application,2016-01-02 02:33:01.172125,complete,User_1
77,A_Submitted,2016-01-02 02:33:01.270125,complete,User_1
78,A_Create Application,2016-01-02 02:37:30.401353,complete,User_1
78,A_Submitted,2016-01-02 02:37:30.499353,complete,User_1
79,A_Create Application,2016-01-02 02:38:47.192425,complete,User_1
79,A_Submitted,2016-01-02 02:38:47.290425,complete,User_1
75,A_Create Application,2016-01-02 02:40:00.001000,complete,User_1
75,A_Submitted,2016-01-02 02:40:00.099000,complete,User_1
80,A_Create Application,2016-01-02 02:43:50.387731,complete,User_1
80,A_Submitted,2016-01-02 02:43:50.485731,complete,User_1
81,A_Create Application,2016-01-02 02:46:07.342002,complete,User_1
81,A_Submitted,2016-01-02 02:46:07.440002,complete,User_1
76,A_Create Application,2016-01-02 02:55:00.001000,complete,User_1
76,A_Submitted,2016-01-02 02:55:00.099000,complete,User_1
72,A_Create Application,2016-01-02 03:10:00.001000,complete,User_1
72,A_Submitted,2016-01-02 03:10:00.099000,complete,User_1
73,A_Create Application,2016-01-02 03:25:00.001000,complete,User_1
73,A_Submitted,2016-01-02 03:25:00.099000,complete,User_1
82,A_Create Application,2016-01-02 03:27:18.031122,complete,User_1
82,A_Submitted,2016-01-02 03:27:18.129122,complete,User_1
74,A_Create Application,2016-01-02 03:40:00.001000,complete,User_1
74,A_Submitted,2016-01-02 03:40:00.099000,complete,User_1
83,A_Create Application,2016-01-02 03:47:02.655167,complete,User_1
83,A_Submitted,2016-01-02 03:47:02.753167,complete,User_1
71,A_Create Application,2016-01-02 03:55:00.001000,complete,User_1
71,A_Submitted,2016-01-02 03:55:00.099000,complete,User_1
70,A_Create Application,2016-01-02 04:10:00.001000,complete,User_1
70,A_Submitted,2016-01-02 04:10:00.099000,complete,User_1
84,A_Create Application,2016-01-02 04:17:48.149172,complete,User_1
84,A_Submitted,2016-01-02 04:17:48.247172,complete,User_1
85,A_Create Application,2016-01-02 04:32:31.903725,complete,User_1
85,A_Submitted,2016-01-02 04:32:32.001725,complete,User_1
86,A_Create Application,2016-01-02 04:34:45.050047,complete,User_1
86,A_Submitted,2016-01-02 04:34:45.148047,complete,User_1
87,A_Create Application,2016-01-02 04:58:07.354714,complete,User_1
87,A_Submitted,2016-01-02 04:58:07.452714,complete,User_1
70,W_Handle leads,2016-01-02 06:24:00.151840,start,User_5
70,W_Handle leads,2016-01-02 06:25:54.856020,complete,User_5
70,A_Concept,2016-01-02 06:25:54.860020,complete,User_1
70,W_Complete application,2016-01-02 06:25:55.677684,start,User_5
70,W_Complete application,2016-01-02 06:36:44.004722,complete,User_5
70,A_Accepted,2016-01-02 06:36:45.028722,complete,User_5
70,O_Create Offer,2016-01-02 06:36:45.491722,complete,User_5
70,O_Created,2016-01-02 06:36:45.580722,complete,User_5
70,O_Cancelled,2016-01-02 06:36:45.581722,complete,User_5
70,O_Cancelled,2016-01-02 06:36:45.582722,complete,User_1
70,O_Cancelled,2016-01-02 06:36:45.583722,complete,User_5
70,O_Cancelled,2016-01-02 06:36:45.584722,complete,User_1
70,O_Create Offer,2016-01-02 06:36:46.047722,complete,User_5
70,O_Created,2016-01-02 06:36:46.136722,complete,User_5
70,O_Cancelled,2016-01-02 06:36:46.137722,complete,User_68
70,O_Cancelled,2016-01-02 06:36:46.138722,complete,User_5
70,O_Create Offer,2016-01-02 06:36:46.601722,complete,User_5
70,O_Created,2016-01-02 06:36:46.690722,complete,User_5
70,O_Cancelled,2016-01-02 06:36:46.691722,complete,User_5
70,O_Cancelled,2016-01-02 06:36:46.692722,complete,User_68
70,O_Cancelled,2016-01-02 06:36:46.693722,complete,User_68
70,O_Cancelled,2016-01-02 06:36:46.694722,complete,User_1
70,O_Cancelled,2016-01-02 06:36:46.695722,complete,User_68
70,O_Create Offer,2016-01-02 06:36:47.158722,complete,User_5
70,O_Created,2016-01-02 06:36:47.247722,complete,User_5
70,O_Sent (mail and online),2016-01-02 06:36:47.248722,complete,User_5
70,A_Complete,2016-01-02 06:36:48.794722,complete,User_5
70,W_Call after offers,2016-01-02 06:36:49.103205,start,User_68
18,W_Handle leads,2016-01-02 06:39:00.241826,start,User_5
18,W_Handle leads,2016-01-02 06:40:54.946006,complete,User_5
18,A_Concept,2016-01-02 06:40:54.950006,complete,User_1
18,W_Complete application,2016-01-02 06:40:55.507199,start,User_5
70,W_Call after offers,2016-01-02 06:41:15.002946,complete,User_68
88,A_Create Application,2016-01-02 06:51:09.792611,complete,User_1
88,A_Submitted,2016-01-02 06:51:09.890611,complete,User_1
18,W_Complete application,2016-01-02 06:51:43.834237,complete,User_5
18,A_Accepted,2016-01-02 06:51:44.858237,complete,User_5
18,O_Create Offer,2016-01-02 06:51:45.321237,complete,User_5
18,O_Created,2016-01-02 06:51:45.410237,complete,User_5
18,O_Cancelled,2016-01-02 06:51:45.411237,complete,User_1
18,O_Create Offer,2016-01-02 06:51:45.874237,complete,User_5
18,O_Created,2016-01-02 06:51:45.963237,complete,User_5
18,O_Cancelled,2016-01-02 06:51:45.964237,complete,User_1
18,O_Create Offer,2016-01-02 06:51:46.427237,complete,User_5
18,O_Created,2016-01-02 06:51:46.516237,complete,User_5
18,O_Cancelled,2016-01-02 06:51:46.517237,complete,User_5
18,O_Cancelled,2016-01-02 06:51:46.518237,complete,User_90
18,O_Cancelled,2016-01-02 06:51:46.519237,complete,User_90
18,O_Create Offer,2016-01-02 06:51:46.982237,complete,User_5
18,O_Created,2016-01-02 06:51:47.071237,complete,User_5
18,O_Cancelled,2016-01-02 06:51:47.072237,complete,User_68
18,O_Create Offer,2016-01-02 06:51:47.535237,complete,User_5
18,O_Created,2016-01-02 06:51:47.624237,complete,User_5
18,O_Sent (mail and online),2016-01-02 06:51:47.625237,complete,User_5
18,A_Complete,2016-01-02 06:51:49.171237,complete,User_5
18,W_Call after offers,2016-01-02 06:51:50.036471,start,User_90
45,W_Handle leads,2016-01-02 06:54:00.377741,start,User_5
45,W_Handle leads,2016-01-02 06:55:55.081921,complete,User_5
45,A_Concept,2016-01-02 06:55:55.085921,complete,User_1
45,W_Complete application,2016-01-02 06:55:55.891667,start,User_5
18,W_Call after offers,2016-01-02 06:56:15.936212,complete,User_90
45,W_Complete application,2016-01-02 07:06:44.218705,complete,User_5
45,A_Accepted,2016-01-02 07:06:45.242705,complete,User_5
45,O_Create Offer,2016-01-02 07:06:45.705705,complete,User_5
45,O_Created,2016-01-02 07:06:45.794705,complete,User_5
45,O_Cancelled,2016-01-02 07:06:45.795705,complete,User_127
45,O_Cancelled,2016-01-02 07:06:45.796705,complete,User_95
45,O_Create Offer,2016-01-02 07:06:46.259705,complete,User_5
45,O_Created,2016-01-02 07:06:46.348705,complete,User_5
45,O_Cancelled,2016-01-02 07:06:46.349705,complete,User_1
45,O_Create Offer,2016-01-02 07:06:46.812705,complete,User_5
45,O_Created,2016-01-02 07:06:46.901705,complete,User_5
45,O_Sent (mail and online),2016-01-02 07:06:46.902705,complete,User_5
45,A_Complete,2016-01-02 07:06:48.448705,complete,User_5
45,W_Call after offers,2016-01-02 07:06:49.374652,start,User_68
8,W_Handle leads,2016-01-02 07:09:00.735091,start,User_5
8,W_Handle leads,2016-01-02 07:10:55.439271,complete,User_5
8,A_Concept,2016-01-02 07:10:55.443271,complete,User_1
8,W_Complete application,2016-01-02 07:10:56.350716,start,User_5
89,A_Create Application,2016-01-02 07:11:08.970860,complete,User_1
89,A_Submitted,2016-01-02 07:11:09.068860,complete,User_1
45,W_Call after offers,2016-01-02 07:11:15.274393,complete,User_68
70,A_Validating,2016-01-02 07:11:16.156946,complete,User_125
70,W_Validate application,2016-01-02 07:11:16.716473,start,User_127
90,A_Create Application,2016-01-02 07:17:00.362139,complete,User_1
90,A_Submitted,2016-01-02 07:17:00.460139,complete,User_1
70,W_Validate application,2016-01-02 07:17:59.807597,complete,User_127
70,O_Returned,2016-01-02 07:18:01.332597,complete,User_90
70,A_Incomplete,2016-01-02 07:18:02.758597,complete,User_127
88,W_Handle leads,2016-01-02 07:21:10.312033,start,User_55
8,W_Complete application,2016-01-02 07:21:44.677754,complete,User_5
8,A_Accepted,2016-01-02 07:21:45.701754,complete,User_5
8,O_Create Offer,2016-01-02 07:21:46.164754,complete,User_5
8,O_Created,2016-01-02 07:21:46.253754,complete,User_5
8,O_Cancelled,2016-01-02 07:21:46.254754,complete,User_127
8,O_Create Offer,2016-01-02 07:21:46.717754,complete,User_5
8,O_Created,2016-01-02 07:21:46.806754,complete,User_5
8,O_Cancelled,2016-01-02 07:21:46.807754,complete,User_122
8,O_Cancelled,2016-01-02 07:21:46.808754,complete,User_87
8,O_Create Offer,2016-01-02 07:21:47.271754,complete,User_5
8,O_Created,2016-01-02 07:21:47.360754,complete,User_5
8,O_Cancelled,2016-01-02 07:21:47.361754,complete,User_120
8,O_Create Offer,2016-01-02 07:21:47.824754,complete,User_5
8,O_Created,2016-01-02 07:21:47.913754,complete,User_5
8,O_Sent (mail and online),2016-01-02 07:21:47.914754,complete,User_5
8,A_Complete,2016-01-02 07:21:49.460754,complete,User_5
8,W_Call after offers,2016-01-02 07:21:50.423879,start,User_68
88,W_Handle leads,2016-01-02 07:23:05.016213,complete,User_55
88,A_Concept,2016-01-02 07:23:05.020213,complete,User_5
88,W_Complete application,2016-01-02 07:23:05.913395,start,User_84
21,W_Handle leads,2016-01-02 07:24:00.780105,start,User_5
29,W_Handle leads,2016-01-02 07:24:00.787153,start,User_55
21,W_Handle leads,2016-01-02 07:25:55.484285,complete,User_5
21,A_Concept,2016-01-02 07:25:55.488285,complete,User_5
29,W_Handle leads,2016-01-02 07:25:55.491333,complete,User_55
29,A_Concept,2016-01-02 07:25:55.495333,complete,User_5
21,W_Complete application,2016-01-02 07:25:56.280434,start,User_55
29,W_Complete application,2016-01-02 07:25:56.348556,start,User_5
8,W_Call after offers,2016-01-02 07:26:16.323620,complete,User_68
88,W_Complete application,2016-01-02 07:33:54.240433,complete,User_84
88,A_Accepted,2016-01-02 07:33:55.264433,complete,User_84
88,O_Create Offer,2016-01-02 07:33:55.727433,complete,User_84
88,O_Created,2016-01-02 07:33:55.816433,complete,User_84
88,O_Cancelled,2016-01-02 07:33:55.817433,complete,User_95
88,O_Cancelled,2016-01-02 07:33:55.818433,complete,User_121
88,O_Cancelled,2016-01-02 07:33:55.819433,complete,User_87
88,O_Cancelled,2016-01-02 07:33:55.820433,complete,User_120
88,O_Cancelled,2016-01-02 07:33:55.821433,complete,User_95
88,O_Create Offer,2016-01-02 07:33:56.284433,complete,User_84
88,O_Created,2016-01-02 07:33:56.373433,complete,User_84
88,O_Sent (mail and online),2016-01-02 07:33:56.374433,complete,User_84
88,A_Complete,2016-01-02 07:33:57.920433,complete,User_84
88,W_Call after offers,2016-01-02 07:33:58.864623,start,User_68
21,W_Complete application,2016-01-02 07:36:44.607472,complete,User_55
29,W_Complete application,2016-01-02 07:36:44.675594,complete,User_5
21,A_Accepted,2016-01-02 07:36:45.631472,complete,User_104
29,A_Accepted,2016-01-02 07:36:45.699594,complete,User_5
21,O_Create Offer,2016-01-02 07:36:46.094472,complete,User_55
29,O_Create Offer,2016-01-02 07:36:46.162594,complete,User_104
21,O_Created,2016-01-02 07:36:46.183472,complete,User_84
21,O_Cancelled,2016-01-02 07:36:46.184472,complete,User_90
29,O_Created,2016-01-02 07:36:46.251594,complete,User_5
29,O_Cancelled,2016-01-02 07:36:46.252594,complete,User_114
29,O_Cancelled,2016-01-02 07:36:46.253594,complete,User_104
29,O_Cancelled,2016-01-02 07:36:46.254594,complete,User_5
21,O_Create Offer,2016-01-02 07:36:46.647472,complete,User_55
29,O_Create Offer,2016-01-02 07:36:46.717594,complete,User_84
21,O_Created,2016-01-02 07:36:46.736472,complete,User_104
21,O_Sent (mail and online),2016-01-02 07:36:46.737472,complete,User_104
29,O_Created,2016-01-02 07:36:46.806594,complete,User_5
29,O_Cancelled,2016-01-02 07:36:46.807594,complete,User_121
29,O_Cancelled,2016-01-02 07:36:46.808594,complete,User_1
29,O_Cancelled,2016-01-02 07:36:46.809594,complete,User_114
29,O_Cancelled,2016-01-02 07:36:46.810594,complete,User_99
29,O_Cancelled,2016-01-02 07:36:46.811594,complete,User_30
29,O_Create Offer,2016-01-02 07:36:47.274594,complete,User_104
29,O_Created,2016-01-02 07:36:47.363594,complete,User_5
29,O_Cancelled,2016-01-02 07:36:47.364594,complete,User_27
29,O_Cancelled,2016-01-02 07:36:47.365594,complete,User_125
29,O_Cancelled,2016-01-02 07:36:47.366594,complete,User_5
29,O_Create Offer,2016-01-02 07:36:47.829594,complete,User_55
29,O_Created,2016-01-02 07:36:47.918594,complete,User_55
29,O_Sent (mail and online),2016-01-02 07:36:47.919594,complete,User_5
21,A_Complete,2016-01-02 07:36:48.283472,complete,User_84
21,W_Call after offers,2016-01-02 07:36:48.514720,start,User_90
29,A_Complete,2016-01-02 07:36:49.465594,complete,User_5
29,W_Call after offers,2016-01-02 07:36:50.172202,start,User_87
88,W_Call after offers,2016-01-02 07:38:24.764364,complete,User_68
88,O_Cancelled,2016-01-02 07:38:24.765364,complete,User_84
88,A_Cancelled,2016-01-02 07:38:24.781364,complete,User_84
25,W_Handle leads,2016-01-02 07:39:00.064514,start,User_55
57,W_Handle leads,2016-01-02 07:39:00.073568,start,User_32
52,W_Handle leads,2016-01-02 07:39:00.224005,start,User_5
44,W_Handle leads,2016-01-02 07:39:00.429005,start,User_84
16,W_Handle leads,2016-01-02 07:39:00.850652,start,User_104
25,W_Handle leads,2016-01-02 07:40:54.768694,complete,User_55
25,A_Concept,2016-01-02 07:40:54.772694,complete,User_5
57,W_Handle leads,2016-01-02 07:40:54.777748,complete,User_32
57,A_Concept,2016-01-02 07:40:54.781748,complete,User_1
52,W_Handle leads,2016-01-02 07:40:54.928185,complete,User_5
52,A_Concept,2016-01-02 07:40:54.932185,complete,User_5
44,W_Handle leads,2016-01-02 07:40:55.133185,complete,User_84
44,A_Concept,2016-01-02 07:40:55.137185,complete,User_1
44,W_Complete application,2016-01-02 07:40:55.174580,start,User_5
25,W_Complete application,2016-01-02 07:40:55.193044,start,User_104
57,W_Complete application,2016-01-02 07:40:55.540839,start,User_32
16,W_Handle leads,2016-01-02 07:40:55.554832,complete,User_104
16,A_Concept,2016-01-02 07:40:55.558832,complete,User_84
16,W_Complete application,2016-01-02 07:40:55.816062,start,User_55
52,W_Complete application,2016-01-02 07:40:55.907260,start,User_53
89,W_Handle leads,2016-01-02 07:41:09.750207,start,User_11
21,W_Call after offers,2016-01-02 07:41:14.414461,complete,User_90
21,O_Create Offer,2016-01-02 07:41:14.877461,complete,User_84
21,O_Created,2016-01-02 07:41:14.966461,complete,User_84
21,O_Cancelled,2016-01-02 07:41:14.967461,complete,User_123
21,O_Cancelled,2016-01-02 07:41:14.968461,complete,User_95
21,O_Cancelled,2016-01-02 07:41:14.969461,complete,User_99
21,O_Cancelled,2016-01-02 07:41:14.970461,complete,User_116
21,O_Create Offer,2016-01-02 07:41:15.433461,complete,User_84
21,O_Created,2016-01-02 07:41:15.522461,complete,User_84
21,O_Sent (mail and online),2016-01-02 07:41:15.523461,complete,User_84
29,W_Call after offers,2016-01-02 07:41:16.071943,complete,User_87
21,A_Complete,2016-01-02 07:41:17.069461,complete,User_84
29,A_Validating,2016-01-02 07:41:17.225943,complete,User_114
21,W_Call after offers,2016-01-02 07:41:17.291812,start,User_30
29,W_Validate application,2016-01-02 07:41:18.212780,start,User_107
89,W_Handle leads,2016-01-02 07:43:04.454387,complete,User_11
89,A_Concept,2016-01-02 07:43:04.458387,complete,User_48
89,W_Complete application,2016-01-02 07:43:05.202723,start,User_84
21,W_Call after offers,2016-01-02 07:45:43.191553,complete,User_30
21,O_Create Offer,2016-01-02 07:45:43.654553,complete,User_48
21,O_Created,2016-01-02 07:45:43.743553,complete,User_48
21,O_Cancelled,2016-01-02 07:45:43.744553,complete,User_87
21,O_Cancelled,2016-01-02 07:45:43.745553,complete,User_119
21,O_Create Offer,2016-01-02 07:45:44.208553,complete,User_11
21,O_Created,2016-01-02 07:45:44.297553,complete,User_11
21,O_Cancelled,2016-01-02 07:45:44.298553,complete,User_60
21,O_Cancelled,2016-01-02 07:45:44.299553,complete,User_95
21,O_Cancelled,2016-01-02 07:45:44.300553,complete,User_127
21,O_Create Offer,2016-01-02 07:45:44.763553,complete,User_48
21,O_Created,2016-01-02 07:45:44.852553,complete,User_31
21,O_Sent (mail and online),2016-01-02 07:45:44.853553,complete,User_11
21,A_Complete,2016-01-02 07:45:46.399553,complete,User_60
21,W_Call after offers,2016-01-02 07:45:46.841090,start,User_95
90,W_Handle leads,2016-01-02 07:47:00.727764,start,User_48
29,W_Validate application,2016-01-02 07:48:01.303904,complete,User_107
29,O_Returned,2016-01-02 07:48:02.828904,complete,User_122
29,A_Denied,2016-01-02 07:48:02.844904,complete,User_68
29,O_Refused,2016-01-02 07:48:02.849904,complete,User_68
70,W_Call incomplete files,2016-01-02 07:48:03.055554,start,User_11
90,W_Handle leads,2016-01-02 07:48:55.431944,complete,User_48
90,A_Concept,2016-01-02 07:48:55.435944,complete,User_31
90,W_Complete application,2016-01-02 07:48:55.484845,start,User_31
21,W_Call after offers,2016-01-02 07:50:12.740831,complete,User_95
21,O_Create Offer,2016-01-02 07:50:13.203831,complete,User_48
21,O_Created,2016-01-02 07:50:13.292831,complete,User_48
21,O_Cancelled,2016-01-02 07:50:13.293831,complete,User_68
21,O_Cancelled,2016-01-02 07:50:13.294831,complete,User_90
21,O_Create Offer,2016-01-02 07:50:13.757831,complete,User_60
21,O_Created,2016-01-02 07:50:13.846831,complete,User_60
21,O_Sent (mail and online),2016-01-02 07:50:13.847831,complete,User_60
21,A_Complete,2016-01-02 07:50:15.393831,complete,User_60
21,W_Call after offers,2016-01-02 07:50:16.068744,start,User_30
44,W_Complete application,2016-01-02 07:51:43.501618,complete,User_5
25,W_Complete application,2016-01-02 07:51:43.520082,complete,User_104
57,W_Complete application,2016-01-02 07:51:43.867877,complete,User_32
16,W_Complete application,2016-01-02 07:51:44.143100,complete,User_55
52,W_Complete application,2016-01-02 07:51:44.234298,complete,User_53
44,A_Accepted,2016-01-02 07:51:44.525618,complete,User_48
25,A_Accepted,2016-01-02 07:51:44.544082,complete,User_32
57,A_Accepted,2016-01-02 07:51:44.891877,complete,User_60
44,O_Create Offer,2016-01-02 07:51:44.988618,complete,User_5
25,O_Create Offer,2016-01-02 07:51:45.007082,complete,User_32
44,O_Created,2016-01-02 07:51:45.077618,complete,User_5
44,O_Sent (mail and online),2016-01-02 07:51:45.078618,complete,User_48
25,O_Created,2016-01-02 07:51:45.096082,complete,User_32
25,O_Cancelled,2016-01-02 07:51:45.097082,complete,User_112
25,O_Cancelled,2016-01-02 07:51:45.098082,complete,User_95
16,A_Accepted,2016-01-02 07:51:45.167100,complete,User_104
