case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource,case:ApplicationType,case:LoanGoal,case:RequestedAmount
1,W_Complete application,2016-01-01 09:53:00.333145,complete,User_32,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:53:00.333145,start,User_21,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:53:10.923220,complete,User_21,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:53:10.923220,start,User_68,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:54:49.676783,complete,User_68,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 09:54:49.676783,start,User_58,New credit,Not speficied,47489.2
4,A_Create Application,2016-01-01 10:02:24.345438,start,User_72,New credit,"Other, see explanation",9941.98
4,A_Create Application,2016-01-01 10:02:24.345438,complete,User_72,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 10:02:24.345438,start,User_26,New credit,"Other, see explanation",9941.98
2,W_Complete application,2016-01-01 10:05:47.643877,complete,User_49,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:05:47.643877,start,User_45,New credit,Existing loan takeover,25581.06
1,W_Complete application,2016-01-01 10:07:14.236073,complete,User_58,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 10:07:14.236073,start,User_102,New credit,Not speficied,47489.2
3,W_Complete application,2016-01-01 10:08:44.834199,complete,User_100,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 10:08:44.834199,start,User_93,New credit,Home improvement,15148.56
1,W_Complete application,2016-01-01 10:09:40.957791,complete,User_102,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 10:09:40.957791,start,User_54,New credit,Not speficied,47489.2
2,W_Complete application,2016-01-01 10:11:28.018638,complete,User_45,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:11:28.018638,start,User_144,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:16:45.030098,complete,User_144,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:16:45.030098,start,User_59,New credit,Existing loan takeover,25581.06
1,W_Complete application,2016-01-01 10:18:54.851412,complete,User_54,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 10:18:54.851412,start,User_53,New credit,Not speficied,47489.2
2,W_Complete application,2016-01-01 10:26:28.312960,complete,User_59,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:26:28.312960,start,User_90,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:27:26.691347,complete,User_90,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:27:26.691347,start,User_99,New credit,Existing loan takeover,25581.06
5,A_Create Application,2016-01-01 10:29:03.840684,start,User_32,New credit,Unknown,14558.04
5,A_Create Application,2016-01-01 10:29:03.840684,complete,User_32,New credit,Unknown,14558.04
5,A_Submitted,2016-01-01 10:29:03.840684,start,User_1,New credit,Unknown,14558.04
5,A_Submitted,2016-01-01 10:29:03.840684,complete,User_1,New credit,Unknown,14558.04
5,W_Handle leads,2016-01-01 10:29:03.840684,start,User_60,New credit,Unknown,14558.04
2,W_Complete application,2016-01-01 10:30:41.463908,complete,User_99,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:30:41.463908,start,User_107,New credit,Existing loan takeover,25581.06
5,W_Handle leads,2016-01-01 10:30:50.037093,complete,User_60,New credit,Unknown,14558.04
5,W_Handle leads,2016-01-01 10:30:50.037093,start,User_1,New credit,Unknown,14558.04
5,W_Handle leads,2016-01-01 10:33:02.563161,complete,User_1,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 10:33:02.563161,start,User_60,New credit,Unknown,14558.04
1,W_Complete application,2016-01-01 10:33:53.447233,complete,User_53,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 10:33:53.447233,start,User_15,New credit,Not speficied,47489.2
4,W_Complete application,2016-01-01 10:37:14.305175,complete,User_26,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 10:37:14.305175,start,User_78,New credit,"Other, see explanation",9941.98
5,W_Complete application,2016-01-01 10:42:16.612464,complete,User_60,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 10:42:16.612464,start,User_47,New credit,Unknown,14558.04
2,W_Complete application,2016-01-01 10:43:16.603416,complete,User_107,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:43:16.603416,start,User_3,New credit,Existing loan takeover,25581.06
1,W_Complete application,2016-01-01 10:45:18.153278,complete,User_15,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 10:45:18.153278,start,User_146,New credit,Not speficied,47489.2
3,W_Complete application,2016-01-01 10:50:21.927599,complete,User_93,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 10:50:21.927599,start,User_81,New credit,Home improvement,15148.56
5,W_Complete application,2016-01-01 10:50:43.232250,complete,User_47,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 10:50:43.232250,start,User_46,New credit,Unknown,14558.04
1,W_Complete application,2016-01-01 10:54:52.035655,complete,User_146,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 10:54:52.035655,start,User_146,New credit,Not speficied,47489.2
2,W_Complete application,2016-01-01 10:55:56.248062,complete,User_3,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 10:55:56.248062,start,User_88,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 11:00:00.962439,complete,User_88,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 11:00:00.962439,start,User_102,New credit,Existing loan takeover,25581.06
3,W_Complete application,2016-01-01 11:07:13.119000,complete,User_81,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 11:07:13.119000,start,User_29,New credit,Home improvement,15148.56
5,W_Complete application,2016-01-01 11:09:34.182325,complete,User_46,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 11:09:34.182325,start,User_81,New credit,Unknown,14558.04
2,W_Complete application,2016-01-01 11:09:37.844162,complete,User_102,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 11:09:37.844162,start,User_38,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 11:12:57.524611,complete,User_38,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 11:12:57.524611,start,User_99,New credit,Existing loan takeover,25581.06
5,W_Complete application,2016-01-01 11:13:55.924402,complete,User_81,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 11:13:55.924402,start,User_40,New credit,Unknown,14558.04
1,W_Complete application,2016-01-01 11:14:15.824522,complete,User_146,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 11:14:15.824522,start,User_39,New credit,Not speficied,47489.2
3,W_Complete application,2016-01-01 11:19:18.340063,complete,User_29,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 11:19:18.340063,start,User_72,New credit,Home improvement,15148.56
4,W_Complete application,2016-01-01 11:20:47.194233,complete,User_78,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 11:20:47.194233,start,User_66,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 11:22:06.269326,complete,User_66,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 11:22:06.269326,start,User_100,New credit,"Other, see explanation",9941.98
3,W_Complete application,2016-01-01 11:22:41.285364,complete,User_72,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 11:22:41.285364,start,User_104,New credit,Home improvement,15148.56
5,W_Complete application,2016-01-01 11:25:39.695362,complete,User_40,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 11:25:39.695362,start,User_93,New credit,Unknown,14558.04
3,W_Complete application,2016-01-01 11:28:39.301314,complete,User_104,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 11:28:39.301314,start,User_16,New credit,Home improvement,15148.56
1,W_Complete application,2016-01-01 11:34:21.736791,complete,User_39,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 11:34:21.736791,start,User_15,New credit,Not speficied,47489.2
3,W_Complete application,2016-01-01 11:36:37.186994,complete,User_16,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 11:36:37.186994,start,User_66,New credit,Home improvement,15148.56
5,W_Complete application,2016-01-01 11:36:58.015408,complete,User_93,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 11:36:58.015408,start,User_32,New credit,Unknown,14558.04
1,W_Complete application,2016-01-01 11:45:52.864379,complete,User_15,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 11:45:52.864379,start,User_38,New credit,Not speficied,47489.2
4,W_Complete application,2016-01-01 11:46:28.983085,complete,User_100,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 11:46:28.983085,start,User_31,New credit,"Other, see explanation",9941.98
3,W_Complete application,2016-01-01 11:47:06.430815,complete,User_66,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 11:47:06.430815,start,User_100,New credit,Home improvement,15148.56
5,W_Complete application,2016-01-01 11:47:21.507469,complete,User_32,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 11:47:21.507469,start,User_63,New credit,Unknown,14558.04
3,W_Complete application,2016-01-01 11:47:30.002018,complete,User_100,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 11:47:30.002018,start,User_32,New credit,Home improvement,15148.56
1,W_Complete application,2016-01-01 11:50:48.305877,complete,User_38,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 11:50:48.305877,start,User_64,New credit,Not speficied,47489.2
6,A_Create Application,2016-01-01 11:54:17.804300,start,User_95,New credit,Car,16454.23
6,A_Create Application,2016-01-01 11:54:17.804300,complete,User_95,New credit,Car,16454.23
6,A_Submitted,2016-01-01 11:54:17.804300,start,User_1,New credit,Car,16454.23
6,A_Submitted,2016-01-01 11:54:17.804300,complete,User_1,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 11:54:17.804300,start,User_46,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 11:55:29.394664,complete,User_46,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 11:55:29.394664,start,User_7,New credit,Car,16454.23
7,A_Create Application,2016-01-01 11:56:25.595758,start,User_28,New credit,Home improvement,11165.35
7,A_Create Application,2016-01-01 11:56:25.595758,complete,User_28,New credit,Home improvement,11165.35
7,W_Complete application,2016-01-01 11:56:25.595758,start,User_101,New credit,Home improvement,11165.35
1,W_Complete application,2016-01-01 11:57:22.266767,complete,User_64,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 11:57:22.266767,start,User_102,New credit,Not speficied,47489.2
7,W_Complete application,2016-01-01 11:58:32.328171,complete,User_101,New credit,Home improvement,11165.35
7,W_Complete application,2016-01-01 11:58:32.328171,start,User_88,New credit,Home improvement,11165.35
4,W_Complete application,2016-01-01 11:58:44.879892,complete,User_31,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 11:58:44.879892,start,User_4,New credit,"Other, see explanation",9941.98
6,W_Handle leads,2016-01-01 12:00:47.660642,complete,User_7,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 12:00:47.660642,start,User_112,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 12:03:37.522277,complete,User_112,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 12:03:37.522277,start,User_14,New credit,Car,16454.23
4,W_Complete application,2016-01-01 12:04:06.018659,complete,User_4,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 12:04:06.018659,start,User_47,New credit,"Other, see explanation",9941.98
6,W_Handle leads,2016-01-01 12:04:26.332529,complete,User_14,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 12:04:26.332529,start,User_79,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 12:05:05.303872,complete,User_79,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 12:05:05.303872,start,User_77,New credit,Car,16454.23
2,W_Complete application,2016-01-01 12:06:08.309255,complete,User_99,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:06:08.309255,start,User_51,New credit,Existing loan takeover,25581.06
4,W_Complete application,2016-01-01 12:10:03.993468,complete,User_47,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 12:10:03.993468,start,User_41,New credit,"Other, see explanation",9941.98
6,W_Handle leads,2016-01-01 12:10:56.541160,complete,User_77,New credit,Car,16454.23
6,W_Handle leads,2016-01-01 12:10:56.541160,start,User_69,New credit,Car,16454.23
2,W_Complete application,2016-01-01 12:10:56.865468,complete,User_51,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:10:56.865468,start,User_112,New credit,Existing loan takeover,25581.06
3,W_Complete application,2016-01-01 12:14:17.431854,complete,User_32,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 12:14:17.431854,start,User_28,New credit,Home improvement,15148.56
1,W_Complete application,2016-01-01 12:16:34.661967,complete,User_102,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:16:34.661967,start,User_83,New credit,Not speficied,47489.2
2,W_Complete application,2016-01-01 12:17:49.410920,complete,User_112,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:17:49.410920,start,User_61,New credit,Existing loan takeover,25581.06
4,W_Complete application,2016-01-01 12:18:22.866869,complete,User_41,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 12:18:22.866869,start,User_3,New credit,"Other, see explanation",9941.98
6,W_Handle leads,2016-01-01 12:18:35.962479,complete,User_69,New credit,Car,16454.23
6,W_Complete application,2016-01-01 12:18:35.962479,start,User_81,New credit,Car,16454.23
3,W_Complete application,2016-01-01 12:20:09.016242,complete,User_28,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 12:20:09.016242,start,User_100,New credit,Home improvement,15148.56
7,W_Complete application,2016-01-01 12:20:18.678256,complete,User_88,New credit,Home improvement,11165.35
7,W_Complete application,2016-01-01 12:20:18.678256,start,User_106,New credit,Home improvement,11165.35
5,W_Complete application,2016-01-01 12:21:19.880087,complete,User_63,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 12:21:19.880087,start,User_14,New credit,Unknown,14558.04
2,W_Complete application,2016-01-01 12:23:38.861827,complete,User_61,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:23:38.861827,start,User_15,New credit,Existing loan takeover,25581.06
4,W_Complete application,2016-01-01 12:25:52.500934,complete,User_3,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 12:25:52.500934,start,User_86,New credit,"Other, see explanation",9941.98
5,W_Complete application,2016-01-01 12:26:48.136947,complete,User_14,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 12:26:48.136947,start,User_79,New credit,Unknown,14558.04
6,W_Complete application,2016-01-01 12:29:34.759130,complete,User_81,New credit,Car,16454.23
6,W_Complete application,2016-01-01 12:29:34.759130,start,User_59,New credit,Car,16454.23
4,W_Complete application,2016-01-01 12:29:58.758635,complete,User_86,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 12:29:58.758635,start,User_1,New credit,"Other, see explanation",9941.98
2,W_Complete application,2016-01-01 12:30:31.998772,complete,User_15,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:30:31.998772,start,User_24,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:30:37.246609,complete,User_24,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:30:37.246609,start,User_33,New credit,Existing loan takeover,25581.06
1,W_Complete application,2016-01-01 12:31:07.990354,complete,User_83,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:31:07.990354,start,User_66,New credit,Not speficied,47489.2
6,W_Complete application,2016-01-01 12:34:07.728017,complete,User_59,New credit,Car,16454.23
6,W_Complete application,2016-01-01 12:34:07.728017,start,User_30,New credit,Car,16454.23
6,W_Complete application,2016-01-01 12:37:40.383682,complete,User_30,New credit,Car,16454.23
6,W_Complete application,2016-01-01 12:37:40.383682,start,User_88,New credit,Car,16454.23
2,W_Complete application,2016-01-01 12:38:56.318881,complete,User_33,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 12:38:56.318881,start,User_7,New credit,Existing loan takeover,25581.06
7,W_Complete application,2016-01-01 12:40:41.316061,complete,User_106,New credit,Home improvement,11165.35
7,W_Complete application,2016-01-01 12:40:41.316061,start,User_19,New credit,Home improvement,11165.35
1,W_Complete application,2016-01-01 12:41:11.299322,complete,User_66,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:41:11.299322,start,User_84,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:43:37.232415,complete,User_84,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:43:37.232415,start,User_101,New credit,Not speficied,47489.2
5,W_Complete application,2016-01-01 12:45:31.367338,complete,User_79,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 12:45:31.367338,start,User_104,New credit,Unknown,14558.04
8,A_Create Application,2016-01-01 12:50:07.577296,start,User_72,New credit,Home improvement,7626.91
8,A_Create Application,2016-01-01 12:50:07.577296,complete,User_72,New credit,Home improvement,7626.91
8,W_Complete application,2016-01-01 12:50:07.577296,start,User_33,New credit,Home improvement,7626.91
8,W_Complete application,2016-01-01 12:50:58.054117,complete,User_33,New credit,Home improvement,7626.91
8,W_Complete application,2016-01-01 12:50:58.054117,start,User_120,New credit,Home improvement,7626.91
5,W_Complete application,2016-01-01 12:52:51.381675,complete,User_104,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 12:52:51.381675,start,User_106,New credit,Unknown,14558.04
4,W_Complete application,2016-01-01 12:53:05.184729,complete,User_1,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 12:53:05.184729,start,User_68,New credit,"Other, see explanation",9941.98
3,W_Complete application,2016-01-01 12:53:25.877003,complete,User_100,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 12:53:25.877003,start,User_21,New credit,Home improvement,15148.56
1,W_Complete application,2016-01-01 12:55:05.640448,complete,User_101,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:55:05.640448,start,User_8,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:55:27.543784,complete,User_8,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:55:27.543784,start,User_71,New credit,Not speficied,47489.2
5,W_Complete application,2016-01-01 12:57:56.480978,complete,User_106,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 12:57:56.480978,start,User_112,New credit,Unknown,14558.04
1,W_Complete application,2016-01-01 12:59:34.302385,complete,User_71,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 12:59:34.302385,start,User_81,New credit,Not speficied,47489.2
8,W_Complete application,2016-01-01 13:00:14.092285,complete,User_120,New credit,Home improvement,7626.91
8,W_Complete application,2016-01-01 13:00:14.092285,start,User_104,New credit,Home improvement,7626.91
4,W_Complete application,2016-01-01 13:00:26.285427,complete,User_68,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 13:00:26.285427,start,User_45,New credit,"Other, see explanation",9941.98
3,W_Complete application,2016-01-01 13:02:13.013396,complete,User_21,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 13:02:13.013396,start,User_67,New credit,Home improvement,15148.56
4,W_Complete application,2016-01-01 13:07:44.748048,complete,User_45,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 13:07:44.748048,start,User_36,New credit,"Other, see explanation",9941.98
1,W_Complete application,2016-01-01 13:07:46.620180,complete,User_81,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 13:07:46.620180,start,User_85,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 13:08:42.835024,complete,User_85,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 13:08:42.835024,start,User_4,New credit,Not speficied,47489.2
8,W_Complete application,2016-01-01 13:10:17.860609,complete,User_104,New credit,Home improvement,7626.91
8,W_Complete application,2016-01-01 13:10:17.860609,start,User_143,New credit,Home improvement,7626.91
7,W_Complete application,2016-01-01 13:10:35.545064,complete,User_19,New credit,Home improvement,11165.35
7,W_Complete application,2016-01-01 13:10:35.545064,start,User_53,New credit,Home improvement,11165.35
1,W_Complete application,2016-01-01 13:11:32.098982,complete,User_4,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 13:11:32.098982,start,User_27,New credit,Not speficied,47489.2
3,W_Complete application,2016-01-01 13:13:01.489217,complete,User_67,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 13:13:01.489217,start,User_120,New credit,Home improvement,15148.56
2,W_Complete application,2016-01-01 13:13:27.426039,complete,User_7,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 13:13:27.426039,start,User_71,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 13:16:26.108760,complete,User_71,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 13:16:26.108760,start,User_93,New credit,Existing loan takeover,25581.06
5,W_Complete application,2016-01-01 13:18:49.732306,complete,User_112,New credit,Unknown,14558.04
5,W_Complete application,2016-01-01 13:18:49.732306,start,User_40,New credit,Unknown,14558.04
8,W_Complete application,2016-01-01 13:21:22.234938,complete,User_143,New credit,Home improvement,7626.91
8,W_Complete application,2016-01-01 13:21:22.234938,start,User_84,New credit,Home improvement,7626.91
3,W_Complete application,2016-01-01 13:22:36.540170,complete,User_120,New credit,Home improvement,15148.56
3,W_Complete application,2016-01-01 13:22:36.540170,start,User_70,New credit,Home improvement,15148.56
8,W_Complete application,2016-01-01 13:24:45.719253,complete,User_84,New credit,Home improvement,7626.91
8,W_Complete application,2016-01-01 13:24:45.719253,start,User_81,New credit,Home improvement,7626.91
7,W_Complete application,2016-01-01 13:24:53.800522,complete,User_53,New credit,Home improvement,11165.35
7,W_Complete application,2016-01-01 13:24:53.800522,start,User_38,New credit,Home improvement,11165.35
4,W_Complete application,2016-01-01 13:25:15.136607,complete,User_36,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 13:25:15.136607,start,User_12,New credit,"Other, see explanation",9941.98
1,W_Complete application,2016-01-01 13:25:42.910617,complete,User_27,New credit,Not speficied,47489.2
1,W_Complete application,2016-01-01 13:25:42.910617,start,User_112,New credit,Not speficied,47489.2
2,W_Complete application,2016-01-01 13:27:24.818856,complete,User_93,New credit,Existing loan takeover,25581.06
2,W_Complete application,2016-01-01 13:27:24.818856,start,User_52,New credit,Existing loan takeover,25581.06
7,W_Complete application,2016-01-01 13:27:42.793868,complete,User_38,New credit,Home improvement,11165.35
7,W_Complete application,2016-01-01 13:27:42.793868,start,User_77,New credit,Home improvement,11165.35
6,W_Complete application,2016-01-01 13:31:04.217095,complete,User_88,New credit,Car,16454.23
6,W_Complete application,2016-01-01 13:31:04.217095,start,User_28,New credit,Car,16454.23
9,A_Create Application,2016-01-01 13:34:17.844933,start,User_33,New credit,Car,28942.95
9,A_Create Application,2016-01-01 13:34:17.844933,complete,User_33,New credit,Car,28942.95
9,W_Complete application,2016-01-01 13:34:17.844933,start,User_1,New credit,Car,28942.95
4,W_Complete application,2016-01-01 13:34:22.715484,complete,User_12,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 13:34:22.715484,start,User_95,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 13:35:14.918115,complete,User_95,New credit,"Other, see explanation",9941.98
4,W_Complete application,2016-01-01 13:35:14.918115,start,User_4,New credit,"Other, see explanation",9941.98
2,W_Complete application,2016-01-01 13:38:09.824918,complete,User_52,New credit,Existing loan takeover,25581.06
