Resource,DayId,StartTime,EndTime
User_15,1,08:29:00,15:25:00
User_15,2,10:15:00,18:52:00
User_15,3,07:30:00,15:25:00
User_15,4,11:52:00,18:42:00
User_15,5,08:39:00,13:22:00
User_16,0,09:03:00,15:24:00
User_16,1,11:07:00,15:55:00
User_16,2,07:34:00,15:09:00
User_16,3,07:31:00,14:43:00
User_16,4,07:27:00,14:54:00
User_17,0,11:52:00,18:54:00
User_17,1,08:08:00,15:21:00
User_17,2,10:04:00,14:21:00
User_17,3,08:50:00,15:45:00
User_17,4,09:16:00,14:59:00
User_17,5,08:29:00,14:59:00
User_18,0,11:29:00,18:58:00
User_18,1,12:38:00,18:50:00
User_18,2,08:22:00,16:29:00
User_18,3,08:16:00,15:35:00
User_18,4,11:33:00,15:15:00
User_18,5,08:41:00,15:02:00
User_19,0,08:18:00,18:57:00
User_19,1,11:57:00,18:44:00
User_19,2,09:06:00,18:49:00
User_19,3,07:26:00,17:55:00
User_19,4,14:58:00,18:51:00
User_19,5,09:02:00,15:09:00
User_20,0,10:07:00,18:44:00
User_20,1,12:28:00,19:02:00
User_20,2,14:47:00,18:48:00
User_20,3,11:16:00,15:06:00
User_20,4,10:47:00,12:42:00
User_21,0,08:24:00,15:46:00
User_21,1,08:14:00,14:56:00
User_21,2,08:26:00,13:14:00
User_21,3,08:07:00,13:41:00
User_21,4,08:21:00,14:15:00
User_22,0,08:36:00,11:48:00
User_22,2,16:14:00,17:18:00
User_23,0,12:37:00,18:51:00
User_23,1,10:13:00,14:59:00
User_23,2,11:39:00,17:59:00
User_23,3,11:14:00,14:44:00
User_23,4,09:43:00,14:52:00
User_24,0,10:00:00,15:28:00
User_24,1,08:05:00,15:57:00
User_24,2,09:32:00,15:49:00
User_24,3,08:07:00,15:00:00
User_24,4,12:21:00,15:59:00
User_24,5,09:08:00,15:42:00
User_25,0,08:27:00,16:47:00
User_25,1,12:12:00,17:53:00
User_25,2,09:03:00,14:23:00
User_25,3,09:18:00,11:45:00
User_26,0,08:44:00,13:47:00
User_26,1,11:43:00,18:39:00
User_26,2,07:47:00,13:26:00
User_26,3,10:14:00,13:33:00
User_26,4,11:21:00,14:29:00
User_26,5,10:32:00,15:05:00
User_27,0,07:29:00,14:53:00
User_27,1,07:16:00,14:13:00
User_27,2,08:25:00,15:07:00
User_27,3,07:46:00,14:16:00
User_27,4,08:16:00,14:50:00
User_27,5,09:10:00,14:49:00
User_28,0,07:17:00,13:59:00
User_28,1,08:02:00,14:54:00
User_28,2,14:05:00,18:54:00
User_28,3,11:26:00,18:33:00
User_28,4,09:05:00,15:48:00
User_28,5,08:21:00,14:43:00
User_29,0,08:18:00,15:17:00
User_29,1,08:15:00,15:20:00
User_29,2,08:15:00,15:25:00
User_29,3,08:08:00,15:23:00
User_29,4,07:59:00,15:20:00
User_29,6,12:49:00,18:11:00
User_30,0,06:12:00,13:32:00
User_30,1,07:09:00,13:49:00
User_30,2,06:39:00,13:37:00
User_30,3,06:31:00,13:38:00
User_30,4,06:43:00,13:35:00
User_31,0,08:04:00,15:16:00
User_31,1,07:48:00,14:04:00
User_31,2,11:30:00,15:44:00
User_31,3,08:33:00,13:53:00
User_31,4,08:25:00,14:49:00
User_32,0,07:11:00,15:20:00
User_32,1,07:16:00,18:50:00
User_33,0,10:23:00,15:06:00
User_33,1,07:03:00,14:01:00
User_33,2,11:01:00,18:43:00
User_33,3,07:38:00,11:26:00
User_33,4,12:04:00,18:52:00
User_34,0,12:13:00,18:59:00
User_34,2,08:11:00,15:35:00
User_34,3,16:19:00,19:49:00
User_34,4,08:35:00,14:06:00
User_35,0,11:28:00,18:07:00
User_35,1,08:12:00,15:18:00
User_35,2,11:46:00,16:20:00
User_35,3,14:27:00,16:04:00
User_35,4,11:47:00,18:43:00
User_35,5,08:24:00,14:54:00
User_36,0,12:15:00,18:55:00
User_36,1,08:10:00,15:41:00
User_36,2,10:07:00,16:08:00
User_36,3,08:56:00,14:48:00
User_36,4,08:38:00,14:59:00
User_36,5,09:06:00,14:55:00
User_37,0,08:01:00,18:52:00
User_37,1,11:22:00,18:32:00
User_37,2,11:04:00,18:51:00
User_37,3,11:06:00,18:49:00
User_37,4,08:17:00,15:49:00
User_37,5,08:37:00,14:56:00
User_38,0,08:12:00,14:47:00
User_38,1,08:04:00,11:59:00
User_38,2,13:20:00,17:46:00
User_38,3,11:22:00,16:29:00
User_38,4,15:59:00,19:26:00
User_38,5,09:07:00,15:43:00
User_39,0,11:07:00,18:53:00
User_39,1,12:24:00,15:59:00
User_39,2,09:01:00,17:30:00
User_39,3,11:56:00,18:55:00
User_39,4,09:58:00,14:54:00
User_39,5,08:34:00,14:50:00
User_40,0,08:17:00,15:00:00
User_40,1,15:01:00,18:42:00
User_40,2,11:16:00,18:33:00
User_40,3,12:32:00,18:24:00
User_40,4,07:23:00,14:19:00
User_41,0,10:45:00,18:58:00
User_41,1,08:14:00,14:56:00
User_41,2,10:59:00,18:41:00
User_41,3,08:02:00,14:44:00
User_41,4,08:10:00,14:59:00
User_42,0,11:26:00,18:44:00
User_42,1,08:07:00,15:00:00
User_42,2,09:27:00,15:46:00
User_42,3,07:53:00,14:57:00
User_42,4,07:25:00,11:40:00
User_43,0,16:05:00,18:28:00
User_43,1,11:03:00,18:39:00
User_43,2,09:00:00,18:35:00
User_43,3,08:55:00,16:31:00
User_43,4,07:28:00,13:29:00
User_43,5,09:07:00,15:04:00
User_44,0,15:26:00,18:59:00
User_44,1,15:25:00,18:58:00
User_44,2,09:53:00,16:25:00
User_44,3,15:29:00,15:58:00
User_44,4,15:24:00,18:53:00
User_44,5,09:02:00,15:00:00
User_45,0,07:22:00,15:36:00
User_45,1,07:59:00,15:55:00
User_45,2,07:29:00,15:03:00
User_45,3,07:37:00,12:46:00
User_45,4,07:43:00,14:41:00
User_46,0,09:25:00,18:43:00
User_46,1,11:01:00,18:34:00
User_46,2,12:17:00,18:55:00
User_46,3,11:20:00,18:54:00
User_46,4,13:34:00,18:52:00
User_46,5,08:07:00,14:52:00
User_47,0,08:49:00,13:20:00
User_47,1,11:32:00,13:33:00
User_47,2,10:27:00,13:33:00
User_47,3,09:51:00,12:12:00
User_47,4,09:46:00,10:51:00
User_48,0,11:29:00,18:31:00
User_48,1,07:21:00,14:57:00
User_48,2,11:26:00,18:40:00
User_48,3,07:44:00,14:54:00
User_48,4,11:15:00,16:40:00
User_49,0,08:07:00,14:52:00
User_49,1,08:08:00,14:58:00
User_49,2,08:04:00,15:00:00
User_49,3,08:15:00,14:58:00
User_49,4,09:03:00,14:56:00
User_49,5,09:05:00,14:45:00
User_50,0,14:12:00,14:37:00
User_50,1,12:49:00,14:26:00
User_50,2,13:39:00,14:21:00
User_50,3,10:47:00,11:40:00
User_50,4,10:31:00,13:58:00
User_50,5,10:34:00,14:10:00
User_51,0,08:17:00,15:06:00
User_51,1,11:03:00,15:47:00
User_51,2,11:11:00,15:59:00
User_51,3,11:53:00,18:35:00
User_51,4,12:36:00,17:17:00
User_52,0,12:39:00,18:52:00
User_52,1,14:01:00,18:39:00
User_52,2,14:06:00,18:49:00
User_52,3,11:30:00,18:46:00
User_52,4,11:57:00,18:37:00
User_52,5,09:09:00,14:55:00
User_53,0,08:14:00,14:48:00
User_53,1,07:33:00,12:20:00
User_53,2,08:41:00,14:51:00
User_53,3,08:19:00,12:08:00
User_53,4,11:13:00,18:56:00
User_54,0,07:52:00,15:01:00
User_54,1,09:56:00,17:12:00
User_54,2,09:57:00,17:13:00
User_54,3,08:13:00,13:59:00
User_54,4,07:19:00,14:59:00
User_54,5,09:12:00,14:57:00
User_55,1,07:16:00,14:48:00
User_55,2,07:25:00,14:10:00
User_55,3,10:26:00,14:23:00
User_55,4,11:40:00,15:02:00
User_56,0,13:29:00,18:53:00
User_56,1,08:10:00,14:53:00
User_56,2,09:14:00,14:35:00
User_56,3,12:12:00,18:43:00
User_56,4,16:06:00,19:23:00
User_56,5,08:08:00,14:24:00
User_57,0,11:02:00,14:42:00
User_57,1,09:19:00,13:41:00
User_57,2,08:10:00,13:51:00
User_57,3,11:40:00,18:32:00
User_57,4,11:15:00,18:41:00
User_58,0,08:16:00,14:52:00
User_58,1,08:08:00,15:00:00
User_58,2,15:19:00,18:52:00
User_58,3,08:43:00,14:57:00
User_58,4,08:04:00,13:07:00
User_58,5,08:48:00,14:56:00
User_59,0,07:14:00,14:22:00
User_59,3,08:29:00,14:53:00
User_60,0,07:21:00,14:57:00
User_60,1,07:26:00,14:58:00
User_60,2,07:29:00,15:00:00
User_60,3,11:09:00,18:08:00
User_60,4,07:26:00,14:55:00
User_61,0,11:04:00,15:54:00
User_61,1,12:05:00,18:40:00
User_61,2,12:01:00,16:01:00
User_61,3,12:11:00,15:54:00
User_61,4,15:14:00,18:51:00
User_62,2,07:53:00,13:11:00
User_62,3,15:10:00,18:44:00
User_62,4,10:39:00,14:46:00
User_63,0,07:16:00,12:19:00
User_63,1,08:28:00,14:54:00
User_63,2,14:52:00,18:51:00
User_63,3,12:37:00,18:43:00
User_63,4,08:47:00,13:18:00
User_64,0,10:33:00,13:10:00
User_64,1,12:59:00,13:03:00
User_64,2,15:53:00,16:16:00
User_64,3,11:48:00,13:31:00
User_64,4,12:22:00,13:44:00
User_65,0,15:40:00,19:53:00
User_65,5,09:03:00,16:00:00
User_66,0,08:10:00,15:35:00
User_66,1,12:18:00,19:21:00
User_66,2,08:16:00,15:31:00
User_66,3,08:06:00,15:37:00
User_66,4,08:01:00,14:59:00
User_67,0,07:56:00,14:57:00
User_67,1,08:03:00,15:02:00
User_67,2,07:54:00,14:46:00
User_67,3,12:13:00,19:40:00
User_67,4,08:01:00,14:57:00
User_68,0,06:27:00,13:38:00
User_68,1,05:34:00,13:34:00
User_68,2,06:17:00,13:38:00
User_68,3,05:29:00,14:04:00
User_68,4,06:16:00,13:35:00
User_68,6,05:30:00,07:22:00
User_69,0,08:03:00,15:43:00
User_69,1,08:03:00,16:04:00
User_69,2,12:13:00,17:34:00
User_69,3,08:05:00,15:56:00
User_69,4,08:00:00,15:48:00
User_70,0,12:51:00,16:52:00
User_70,1,14:11:00,17:46:00
User_70,2,11:33:00,15:05:00
User_70,3,16:06:00,18:40:00
User_70,4,15:09:00,18:49:00
User_70,5,10:07:00,14:55:00
User_71,0,08:15:00,17:22:00
User_71,1,08:01:00,15:27:00
User_71,2,09:16:00,18:43:00
User_71,3,08:08:00,16:00:00
User_71,4,08:49:00,17:32:00
User_71,5,08:34:00,15:03:00
User_72,0,08:52:00,15:40:00
User_74,1,13:53:00,17:24:00
User_74,2,16:11:00,19:29:00
User_74,3,10:22:00,14:27:00
User_74,4,08:53:00,15:59:00
User_74,5,09:14:00,15:02:00
User_75,0,07:01:00,14:12:00
User_75,1,08:19:00,16:07:00
User_75,2,06:34:00,14:29:00
User_75,3,07:23:00,15:12:00
User_75,4,06:47:00,14:37:00
User_75,5,15:20:00,15:53:00
User_75,6,11:57:00,17:59:00
User_77,0,11:01:00,15:32:00
User_77,1,12:16:00,15:01:00
User_77,2,12:13:00,19:24:00
User_77,4,10:21:00,15:36:00
User_77,5,09:12:00,15:03:00
User_78,0,08:36:00,15:47:00
User_78,1,08:17:00,15:27:00
User_78,2,09:05:00,15:19:00
User_78,3,11:36:00,15:36:00
User_78,4,08:07:00,13:29:00
User_79,0,08:12:00,12:43:00
User_79,1,12:03:00,17:34:00
User_79,2,12:44:00,15:53:00
User_79,4,12:12:00,18:47:00
User_80,1,09:23:00,15:06:00
User_80,2,11:34:00,19:19:00
User_80,3,11:42:00,18:49:00
User_81,0,08:16:00,15:55:00
User_81,3,12:05:00,13:09:00
User_83,0,05:49:00,14:09:00
User_83,2,05:57:00,09:48:00
User_83,3,06:24:00,14:12:00
User_83,4,06:05:00,14:13:00
User_84,0,12:39:00,19:33:00
User_84,2,12:04:00,19:07:00
User_84,3,08:12:00,15:16:00
User_84,4,12:05:00,18:52:00
User_85,0,09:40:00,16:58:00
User_85,4,09:50:00,17:10:00
User_85,5,08:41:00,14:52:00
User_86,0,08:07:00,15:03:00
User_86,3,09:54:00,17:30:00
User_86,4,09:32:00,12:50:00
User_87,0,07:13:00,09:25:00
User_87,1,06:41:00,13:23:00
User_87,2,07:14:00,14:20:00
User_87,3,06:24:00,13:00:00
User_87,4,06:52:00,13:57:00
User_88,0,08:00:00,15:27:00
User_90,0,06:45:00,12:00:00
User_90,1,06:48:00,12:20:00
User_90,2,06:11:00,10:32:00
User_90,3,06:50:00,11:48:00
User_90,4,06:19:00,14:12:00
User_91,1,11:09:00,18:51:00
User_91,4,12:11:00,16:26:00
User_93,0,07:15:00,15:20:00
User_93,1,07:20:00,15:09:00
User_93,2,07:13:00,15:11:00
User_93,3,07:24:00,15:24:00
User_93,4,07:19:00,15:00:00
User_95,0,06:19:00,14:18:00
User_95,1,07:12:00,13:49:00
User_95,2,06:41:00,14:46:00
User_95,3,06:34:00,14:50:00
User_95,4,06:47:00,14:59:00
User_96,0,15:24:00,19:06:00
User_96,1,09:34:00,19:45:00
User_96,3,12:25:00,19:43:00
User_96,4,08:02:00,13:29:00
User_97,3,12:00:00,16:16:00
User_97,4,08:06:00,16:00:00
User_99,0,07:34:00,15:02:00
User_99,1,07:09:00,14:56:00
User_99,2,07:28:00,15:00:00
User_99,4,07:27:00,14:42:00
User_100,0,07:37:00,14:56:00
User_100,1,07:32:00,15:11:00
User_100,2,07:34:00,14:59:00
User_100,3,07:28:00,10:38:00
User_100,4,07:34:00,14:48:00
User_101,0,08:06:00,15:08:00
User_101,1,07:58:00,15:28:00
User_101,2,09:43:00,15:21:00
User_101,3,08:34:00,15:11:00
User_101,4,08:59:00,15:00:00
User_101,5,11:29:00,14:23:00
User_102,0,07:55:00,15:33:00
User_102,1,07:45:00,15:37:00
User_102,2,07:40:00,15:43:00
User_102,3,07:44:00,15:22:00
User_102,4,08:57:00,13:46:00
User_103,1,07:00:00,07:00:00
User_103,2,15:06:00,15:09:00
User_103,4,10:19:00,11:07:00
User_104,0,09:59:00,19:01:00
User_104,1,07:30:00,14:38:00
User_104,2,07:08:00,14:37:00
User_104,3,08:11:00,14:55:00
User_106,0,07:45:00,14:45:00
User_106,1,08:03:00,14:30:00
User_106,2,07:52:00,15:23:00
User_106,3,07:49:00,14:23:00
User_106,4,07:51:00,12:15:00
User_107,0,08:20:00,13:02:00
User_107,1,07:39:00,14:11:00
User_107,2,08:04:00,13:10:00
User_107,3,06:38:00,13:48:00
User_109,0,07:41:00,14:25:00
User_109,1,08:16:00,14:19:00
User_109,2,07:46:00,14:44:00
User_109,3,07:35:00,14:40:00
User_109,4,07:46:00,14:47:00
User_112,0,08:15:00,13:33:00
User_112,1,07:53:00,14:01:00
User_112,2,08:15:00,11:15:00
User_112,3,06:46:00,14:15:00
User_113,0,06:49:00,10:50:00
User_113,2,07:44:00,15:05:00
User_113,3,06:44:00,13:40:00
User_113,4,07:21:00,13:38:00
User_114,1,07:34:00,14:35:00
User_114,2,07:33:00,15:17:00
User_114,3,09:46:00,17:18:00
User_114,4,09:36:00,16:53:00
User_115,1,09:35:00,15:31:00
User_115,2,08:13:00,15:55:00
User_115,3,08:41:00,15:13:00
User_115,4,08:44:00,15:32:00
User_116,0,08:29:00,15:38:00
User_116,1,07:43:00,14:37:00
User_116,2,07:23:00,14:37:00
User_116,3,07:23:00,14:38:00
User_116,4,07:15:00,13:45:00
User_117,0,07:35:00,14:28:00
User_117,1,07:26:00,14:39:00
User_117,2,08:32:00,15:01:00
User_117,3,08:31:00,15:33:00
User_117,4,07:47:00,14:14:00
User_118,0,07:26:00,12:40:00
User_118,1,08:03:00,13:46:00
User_118,2,06:41:00,13:49:00
User_118,3,07:05:00,11:54:00
User_119,0,07:57:00,13:35:00
User_119,1,08:02:00,13:58:00
User_119,2,07:58:00,14:01:00
User_119,3,08:22:00,12:57:00
User_119,4,07:50:00,13:57:00
User_120,0,07:47:00,14:52:00
User_120,1,07:18:00,14:39:00
User_120,2,07:31:00,14:44:00
User_120,3,07:10:00,14:53:00
User_120,4,07:29:00,14:33:00
User_120,5,09:21:00,14:47:00
User_121,0,06:50:00,14:03:00
User_121,1,07:26:00,12:42:00
User_121,2,06:49:00,14:04:00
User_121,4,07:01:00,14:02:00
User_122,0,07:21:00,14:12:00
User_122,1,07:12:00,14:22:00
User_122,2,08:21:00,14:31:00
User_122,3,07:45:00,15:15:00
User_122,4,07:04:00,13:47:00
User_122,5,08:57:00,13:28:00
User_123,0,07:37:00,14:27:00
User_123,1,07:31:00,14:09:00
User_123,2,07:05:00,14:22:00
User_123,3,06:57:00,14:30:00
User_123,4,07:16:00,14:14:00
User_124,0,09:37:00,15:20:00
User_124,1,07:52:00,14:16:00
User_124,2,08:24:00,14:54:00
User_124,3,07:19:00,14:19:00
User_124,4,07:21:00,14:24:00
User_125,0,07:47:00,13:58:00
User_125,1,07:06:00,14:20:00
User_125,2,07:40:00,13:56:00
User_125,3,07:30:00,12:20:00
User_125,4,08:34:00,14:34:00
User_126,0,07:19:00,14:02:00
User_126,1,07:48:00,14:07:00
User_126,2,07:10:00,14:25:00
User_126,3,07:22:00,14:46:00
User_126,4,07:35:00,14:31:00
User_127,2,06:59:00,14:36:00
User_127,4,07:20:00,14:21:00
User_128,0,06:30:00,07:05:00
User_128,1,11:04:00,12:50:00
User_128,2,10:36:00,11:43:00
User_128,4,11:52:00,12:54:00
User_129,0,08:22:00,13:31:00
User_129,3,07:58:00,12:58:00
User_131,1,07:55:00,14:54:00
User_131,2,08:06:00,15:28:00
User_131,3,07:48:00,14:54:00
User_131,4,07:53:00,13:27:00
User_133,0,13:19:00,19:31:00
User_133,1,13:13:00,19:44:00
User_133,2,08:38:00,15:44:00
User_133,3,12:19:00,16:15:00
User_133,4,13:05:00,19:54:00
User_134,0,07:41:00,13:43:00
User_134,1,07:37:00,13:55:00
User_134,2,08:00:00,14:48:00
User_134,4,07:46:00,14:47:00
User_136,2,08:48:00,15:42:00
User_136,3,08:49:00,15:51:00
User_137,0,07:53:00,12:45:00
User_137,2,08:10:00,14:01:00
User_137,4,07:47:00,12:46:00
User_138,0,11:20:00,12:26:00
User_138,1,09:39:00,13:00:00
User_138,3,09:32:00,10:51:00
User_138,4,09:15:00,11:25:00
User_139,0,11:42:00,11:50:00
User_139,2,12:37:00,13:35:00
User_139,3,11:40:00,12:57:00
User_139,4,11:54:00,11:55:00
User_141,0,08:56:00,10:03:00
User_141,2,10:16:00,10:16:00
User_141,3,13:12:00,16:34:00
User_141,4,11:37:00,13:25:00
User_141,5,12:11:00,13:04:00
User_143,0,09:32:00,14:03:00
User_143,1,10:53:00,11:52:00
User_143,2,11:40:00,12:45:00
User_143,3,07:32:00,12:21:00
User_144,0,09:07:00,10:29:00
User_144,1,09:13:00,12:13:00
User_144,2,09:28:00,12:55:00
User_144,3,10:15:00,11:42:00
User_144,4,08:27:00,09:41:00
User_146,0,10:11:00,11:02:00
